episode,start_date,end_date,n_trading_days,ann_sharpe,win_rate,max_drawdown,data_status,durability_verdict
gfc,2008-09-01,2009-06-30,0,,,,insufficient_data,
covid,2020-03-31,2020-06-30,84,2.9669,0.75,0.0,validated,
rate_hike_2022,2022-01-31,2023-06-30,378,0.0,0.0,0.0,validated,
post_covid_expansion,2023-07-31,2025-09-30,567,1.7928,0.5926,-0.0758,validated,conditionally_durable
