horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,0.000166,0.000169,-0.000164,0.000497,0.3247,fwd
3,0.000367,0.000489,-0.000592,0.001325,0.4537,fwd
6,0.001046,0.000866,-0.000652,0.002744,0.2273,fwd
12,0.00258,0.001342,-5.1e-05,0.005211,0.0546,fwd
1,72.628772,28.668418,16.439706,128.817839,0.0113,rev
3,56.304121,31.124729,-4.699227,117.307469,0.0705,rev
6,24.194662,28.128438,-30.936062,79.325387,0.3897,rev
12,-0.350827,21.577838,-42.642613,41.940959,0.987,rev
