parameter,value,se
p[0->0],0.960888274022104,0.020324543295488127
p[1->0],0.03199043734115424,0.01871136507759123
const[0],0.0065493034589789246,
const[1],0.003458521642917932,
x1[0],0.006549303458963672,
x1[1],0.003458521642921483,
x2[0],3.5094291177489976e-05,0.00013225579066523404
x2[1],0.0004800243476372262,0.0001918721562546748
sigma2[0],0.0005609419894707469,8.357190242609924e-05
sigma2[1],0.002734590294759119,0.0003072448322304206
