tau,coef,se,p_value,ci_lower,ci_upper
0.05,0.001797,0.000867,0.0389,9.2e-05,0.003501
0.1,0.001185,0.000535,0.0273,0.000133,0.002238
0.25,0.000609,0.000321,0.0585,-2.2e-05,0.00124
0.5,0.000215,0.000219,0.327,-0.000216,0.000647
0.75,-0.000256,0.000213,0.2295,-0.000674,0.000162
0.9,-0.00062,0.000301,0.0399,-0.00121,-2.9e-05
0.95,-8.6e-05,0.000453,0.8501,-0.000976,0.000805
