pair_name,horizon_days,metric,value,p_value,n_obs
yoy__spy_fwd_1m,21,pearson,0.0678,0.1757,400
yoy__spy_fwd_1m,21,spearman,0.0139,0.7819,400
yoy__spy_fwd_1m,21,kendall,0.0104,0.756,400
yoy__spy_fwd_1m,21,distance,0.1214,,400
yoy__spy_fwd_3m,63,pearson,0.0881,0.0791,398
yoy__spy_fwd_3m,63,spearman,0.005,0.9207,398
yoy__spy_fwd_3m,63,kendall,0.003,0.9288,398
yoy__spy_fwd_3m,63,distance,0.1457,,398
yoy__spy_fwd_6m,126,pearson,0.1712,0.0006,395
yoy__spy_fwd_6m,126,spearman,0.0848,0.0924,395
yoy__spy_fwd_6m,126,kendall,0.0558,0.0984,395
yoy__spy_fwd_6m,126,distance,0.203,,395
yoy__spy_fwd_12m,252,pearson,0.2741,0.0,389
yoy__spy_fwd_12m,252,spearman,0.2131,0.0,389
yoy__spy_fwd_12m,252,kendall,0.1489,0.0,389
yoy__spy_fwd_12m,252,distance,0.2817,,389
yoy_accel__spy_fwd_1m,21,pearson,0.0419,0.403,400
yoy_accel__spy_fwd_1m,21,spearman,0.0441,0.3785,400
yoy_accel__spy_fwd_1m,21,kendall,0.0292,0.3825,400
yoy_accel__spy_fwd_1m,21,distance,0.0896,,400
yoy_accel__spy_fwd_3m,63,pearson,0.0085,0.8659,398
yoy_accel__spy_fwd_3m,63,spearman,0.0338,0.5018,398
yoy_accel__spy_fwd_3m,63,kendall,0.0245,0.4658,398
yoy_accel__spy_fwd_3m,63,distance,0.0748,,398
yoy_accel__spy_fwd_6m,126,pearson,-0.0296,0.5571,395
yoy_accel__spy_fwd_6m,126,spearman,-0.0319,0.5268,395
yoy_accel__spy_fwd_6m,126,kendall,-0.0209,0.5356,395
yoy_accel__spy_fwd_6m,126,distance,0.093,,395
yoy_accel__spy_fwd_12m,252,pearson,0.0021,0.9665,389
yoy_accel__spy_fwd_12m,252,spearman,0.002,0.9691,389
yoy_accel__spy_fwd_12m,252,kendall,-0.0007,0.9829,389
yoy_accel__spy_fwd_12m,252,distance,0.0816,,389
yoy_3m__spy_fwd_1m,21,pearson,0.0579,0.2483,400
yoy_3m__spy_fwd_1m,21,spearman,-0.0046,0.9268,400
yoy_3m__spy_fwd_1m,21,kendall,-0.0031,0.9251,400
yoy_3m__spy_fwd_1m,21,distance,0.1099,,400
yoy_3m__spy_fwd_3m,63,pearson,0.1136,0.0234,398
yoy_3m__spy_fwd_3m,63,spearman,0.0246,0.6252,398
yoy_3m__spy_fwd_3m,63,kendall,0.0147,0.6604,398
yoy_3m__spy_fwd_3m,63,distance,0.1593,,398
yoy_3m__spy_fwd_6m,126,pearson,0.2185,0.0,395
yoy_3m__spy_fwd_6m,126,spearman,0.145,0.0039,395
yoy_3m__spy_fwd_6m,126,kendall,0.0998,0.0031,395
yoy_3m__spy_fwd_6m,126,distance,0.2357,,395
yoy_3m__spy_fwd_12m,252,pearson,0.3053,0.0,389
yoy_3m__spy_fwd_12m,252,spearman,0.2517,0.0,389
yoy_3m__spy_fwd_12m,252,kendall,0.1747,0.0,389
yoy_3m__spy_fwd_12m,252,distance,0.3114,,389
sa_mom__spy_fwd_1m,21,pearson,0.029,0.5633,400
sa_mom__spy_fwd_1m,21,spearman,0.0786,0.1164,400
sa_mom__spy_fwd_1m,21,kendall,0.0528,0.1151,400
sa_mom__spy_fwd_1m,21,distance,0.1053,,400
sa_mom__spy_fwd_3m,63,pearson,0.0483,0.3362,398
sa_mom__spy_fwd_3m,63,spearman,0.0206,0.6819,398
sa_mom__spy_fwd_3m,63,kendall,0.0131,0.6963,398
sa_mom__spy_fwd_3m,63,distance,0.0863,,398
sa_mom__spy_fwd_6m,126,pearson,0.0686,0.1734,395
sa_mom__spy_fwd_6m,126,spearman,0.0543,0.282,395
sa_mom__spy_fwd_6m,126,kendall,0.0352,0.2962,395
sa_mom__spy_fwd_6m,126,distance,0.1075,,395
sa_mom__spy_fwd_12m,252,pearson,0.0583,0.2513,389
sa_mom__spy_fwd_12m,252,spearman,0.0446,0.3806,389
sa_mom__spy_fwd_12m,252,kendall,0.0303,0.3719,389
sa_mom__spy_fwd_12m,252,distance,0.1029,,389
