direction,lag,f_statistic,p_value,significant
indicator_to_target,1,1.855,0.174,False
target_to_indicator,1,6.0029,0.0147,True
indicator_to_target,2,0.8048,0.4479,False
target_to_indicator,2,3.8725,0.0216,True
indicator_to_target,3,0.4589,0.7111,False
target_to_indicator,3,2.5801,0.0533,False
indicator_to_target,4,1.1176,0.3478,False
target_to_indicator,4,1.6764,0.1547,False
indicator_to_target,5,1.1734,0.3216,False
target_to_indicator,5,1.4658,0.2001,False
indicator_to_target,6,1.1135,0.3537,False
target_to_indicator,6,1.6789,0.1249,False
indicator_to_target,7,0.9047,0.5028,False
target_to_indicator,7,1.3768,0.2137,False
indicator_to_target,8,1.5818,0.1285,False
target_to_indicator,8,1.2809,0.252,False
indicator_to_target,9,1.3474,0.2108,False
target_to_indicator,9,1.2757,0.2485,False
indicator_to_target,10,1.5563,0.1179,False
target_to_indicator,10,1.0521,0.399,False
indicator_to_target,11,1.8346,0.047,True
target_to_indicator,11,1.3686,0.1856,False
indicator_to_target,12,1.6325,0.0807,False
target_to_indicator,12,1.6152,0.0852,False
