signal,horizon,coef,se,t_stat,p_value,r_squared,n
yoy,spy_fwd_1m,0.000166,0.000146,1.139,0.2547,0.0046,400
yoy,spy_fwd_3m,0.000367,0.000273,1.34,0.1801,0.0078,398
yoy,spy_fwd_6m,0.001046,0.000432,2.419,0.0156,0.0293,395
yoy,spy_fwd_12m,0.00258,0.000602,4.289,0.0,0.0752,389
yoy_accel,spy_fwd_1m,0.000158,0.000183,0.864,0.3874,0.0018,400
yoy_accel,spy_fwd_3m,5.5e-05,0.000315,0.173,0.8623,0.0001,398
yoy_accel,spy_fwd_6m,-0.000281,0.000409,-0.688,0.4914,0.0009,395
yoy_accel,spy_fwd_12m,3.1e-05,0.000717,0.044,0.9651,0.0,389
yoy_3m,spy_fwd_1m,0.000155,0.000168,0.922,0.3566,0.0033,400
yoy_3m,spy_fwd_3m,0.000516,0.000315,1.637,0.1015,0.0129,398
yoy_3m,spy_fwd_6m,0.001456,0.000499,2.917,0.0035,0.0478,395
yoy_3m,spy_fwd_12m,0.003131,0.000684,4.581,0.0,0.0932,389
sa_mom,spy_fwd_1m,0.000159,0.00033,0.483,0.629,0.0008,400
sa_mom,spy_fwd_3m,0.000451,0.000509,0.887,0.375,0.0023,398
sa_mom,spy_fwd_6m,0.000947,0.000752,1.258,0.2084,0.0047,395
sa_mom,spy_fwd_12m,0.001247,0.001258,0.992,0.3214,0.0034,389
sa_3m,spy_fwd_1m,0.000231,0.0002,1.153,0.2488,0.0038,400
sa_3m,spy_fwd_3m,2.1e-05,0.000311,0.069,0.9453,0.0,398
sa_3m,spy_fwd_6m,0.000894,0.000495,1.806,0.071,0.009,395
sa_3m,spy_fwd_12m,0.001421,0.000812,1.751,0.08,0.0095,389
yoy_zscore_120m,spy_fwd_1m,0.002793,0.001995,1.4,0.1616,0.0056,365
yoy_zscore_120m,spy_fwd_3m,0.00676,0.003534,1.913,0.0558,0.0115,363
yoy_zscore_120m,spy_fwd_6m,0.019063,0.005487,3.474,0.0005,0.0428,360
yoy_zscore_120m,spy_fwd_12m,0.048548,0.008141,5.963,0.0,0.1192,354
contraction,spy_fwd_1m,-0.000815,0.004754,-0.171,0.8639,0.0001,400
contraction,spy_fwd_3m,-0.006795,0.008185,-0.83,0.4064,0.002,398
contraction,spy_fwd_6m,-0.025131,0.012867,-1.953,0.0508,0.0126,395
contraction,spy_fwd_12m,-0.073339,0.019379,-3.784,0.0002,0.0447,389
hmm_stress,spy_fwd_1m,0.007316,0.006377,1.147,0.2513,0.0046,400
hmm_stress,spy_fwd_3m,0.019781,0.011461,1.726,0.0843,0.0115,398
hmm_stress,spy_fwd_6m,0.039738,0.018564,2.141,0.0323,0.0216,395
hmm_stress,spy_fwd_12m,0.096027,0.026019,3.691,0.0002,0.053,389
markov_regime,spy_fwd_1m,-0.006203,0.004925,-1.259,0.2079,0.0039,399
markov_regime,spy_fwd_3m,-0.015391,0.008141,-1.89,0.0587,0.0082,397
markov_regime,spy_fwd_6m,-0.022583,0.012207,-1.85,0.0643,0.0082,394
markov_regime,spy_fwd_12m,-0.032953,0.01865,-1.767,0.0772,0.0073,388
