signal,horizon,method,correlation,p_value,n
indpro_yoy,spy_fwd_1m,Pearson,0.0301,0.551,395
indpro_yoy,spy_fwd_1m,Spearman,0.0655,0.1943,395
indpro_yoy,spy_fwd_3m,Pearson,0.0188,0.7104,393
indpro_yoy,spy_fwd_3m,Spearman,0.0451,0.3728,393
indpro_yoy,spy_fwd_6m,Pearson,0.0126,0.8047,390
indpro_yoy,spy_fwd_6m,Spearman,0.0884,0.0811,390
indpro_yoy,spy_fwd_12m,Pearson,-0.0498,0.33,384
indpro_yoy,spy_fwd_12m,Spearman,0.0487,0.3408,384
indpro_mom,spy_fwd_1m,Pearson,0.0667,0.1861,395
indpro_mom,spy_fwd_1m,Spearman,0.0675,0.1809,395
indpro_mom,spy_fwd_3m,Pearson,0.0474,0.3487,393
indpro_mom,spy_fwd_3m,Spearman,0.0811,0.1083,393
indpro_mom,spy_fwd_6m,Pearson,0.0737,0.1465,390
indpro_mom,spy_fwd_6m,Spearman,0.1133,0.0252,390
indpro_mom,spy_fwd_12m,Pearson,0.026,0.6119,384
indpro_mom,spy_fwd_12m,Spearman,0.1331,0.009,384
indpro_dev_trend,spy_fwd_1m,Pearson,0.052,0.3023,395
indpro_dev_trend,spy_fwd_1m,Spearman,0.0902,0.0733,395
indpro_dev_trend,spy_fwd_3m,Pearson,0.0352,0.4871,393
indpro_dev_trend,spy_fwd_3m,Spearman,0.1011,0.0453,393
indpro_dev_trend,spy_fwd_6m,Pearson,0.0138,0.7857,390
indpro_dev_trend,spy_fwd_6m,Spearman,0.096,0.0582,390
indpro_dev_trend,spy_fwd_12m,Pearson,-0.057,0.265,384
indpro_dev_trend,spy_fwd_12m,Spearman,0.0874,0.0871,384
indpro_zscore_60m,spy_fwd_1m,Pearson,-0.0223,0.6635,384
indpro_zscore_60m,spy_fwd_1m,Spearman,0.0087,0.8651,384
indpro_zscore_60m,spy_fwd_3m,Pearson,-0.071,0.1662,382
indpro_zscore_60m,spy_fwd_3m,Spearman,-0.0379,0.4601,382
indpro_zscore_60m,spy_fwd_6m,Pearson,-0.1076,0.0362,379
indpro_zscore_60m,spy_fwd_6m,Spearman,-0.0373,0.4685,379
indpro_zscore_60m,spy_fwd_12m,Pearson,-0.1444,0.0052,373
indpro_zscore_60m,spy_fwd_12m,Spearman,-0.0151,0.772,373
indpro_mom_3m,spy_fwd_1m,Pearson,0.0434,0.3895,395
indpro_mom_3m,spy_fwd_1m,Spearman,0.0682,0.1761,395
indpro_mom_3m,spy_fwd_3m,Pearson,0.0335,0.5074,393
indpro_mom_3m,spy_fwd_3m,Spearman,0.1293,0.0103,393
indpro_mom_3m,spy_fwd_6m,Pearson,0.0452,0.373,390
indpro_mom_3m,spy_fwd_6m,Spearman,0.1346,0.0078,390
indpro_mom_3m,spy_fwd_12m,Pearson,-0.0164,0.7491,384
indpro_mom_3m,spy_fwd_12m,Spearman,0.1152,0.024,384
indpro_mom_6m,spy_fwd_1m,Pearson,0.0703,0.1634,395
indpro_mom_6m,spy_fwd_1m,Spearman,0.0627,0.2137,395
indpro_mom_6m,spy_fwd_3m,Pearson,0.0529,0.2958,393
indpro_mom_6m,spy_fwd_3m,Spearman,0.099,0.0498,393
indpro_mom_6m,spy_fwd_6m,Pearson,0.0329,0.5175,390
indpro_mom_6m,spy_fwd_6m,Spearman,0.0935,0.065,390
indpro_mom_6m,spy_fwd_12m,Pearson,-0.0301,0.5569,384
indpro_mom_6m,spy_fwd_12m,Spearman,0.0961,0.06,384
indpro_accel,spy_fwd_1m,Pearson,-0.0016,0.975,395
indpro_accel,spy_fwd_1m,Spearman,0.0136,0.7881,395
indpro_accel,spy_fwd_3m,Pearson,0.0455,0.3688,393
indpro_accel,spy_fwd_3m,Spearman,0.0077,0.8787,393
indpro_accel,spy_fwd_6m,Pearson,0.0261,0.607,390
indpro_accel,spy_fwd_6m,Spearman,-0.0078,0.8772,390
indpro_accel,spy_fwd_12m,Pearson,0.0162,0.7521,384
indpro_accel,spy_fwd_12m,Spearman,-0.0071,0.889,384
indpro_contraction,spy_fwd_1m,Pearson,-0.0369,0.4644,395
indpro_contraction,spy_fwd_1m,Spearman,-0.0248,0.6234,395
indpro_contraction,spy_fwd_3m,Pearson,-0.0714,0.1576,393
indpro_contraction,spy_fwd_3m,Spearman,-0.0108,0.8313,393
indpro_contraction,spy_fwd_6m,Pearson,-0.0761,0.1337,390
indpro_contraction,spy_fwd_6m,Spearman,-0.0149,0.7696,390
indpro_contraction,spy_fwd_12m,Pearson,0.0393,0.4426,384
indpro_contraction,spy_fwd_12m,Spearman,0.0732,0.1524,384
