regime,n_months,mean_monthly_ret_pct,ann_return_pct,ann_vol_pct,sharpe,skewness,kurtosis,min_monthly_pct,max_monthly_pct
Q1_low,99,0.461,5.53,18.05,0.306,-0.505,0.661,-16.52,12.7
Q2,99,1.209,14.51,13.35,1.087,-0.513,0.717,-10.49,9.21
Q3,98,0.734,8.81,12.73,0.692,-0.513,0.565,-9.24,10.91
Q4_high,99,1.359,16.31,14.2,1.149,-0.631,0.966,-14.12,9.69
