lag,f_statistic,p_value,df_num,df_den
1,0.4154,0.5196,1,392
2,0.5148,0.598,2,389
3,1.0589,0.3665,3,386
4,0.9505,0.4347,4,383
5,1.3149,0.2568,5,380
6,1.0898,0.3678,6,377
7,0.9816,0.4442,7,374
8,1.1073,0.3573,8,371
9,0.9811,0.4551,9,368
10,0.9159,0.5184,10,365
11,0.9373,0.5043,11,362
12,0.918,0.5289,12,359
