quartile,n_months,ann_return,ann_vol,sharpe,max_drawdown
Q1,100,0.1296,0.1412,0.917,-0.3138
Q2,100,0.0746,0.1393,0.536,-0.1824
Q3,99,0.1375,0.161,0.854,-0.2118
Q4,100,0.1123,0.1508,0.745,-0.4051
