signal,threshold,strategy,lead_months,lookback,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,n_trades,annual_turnover,oos_n,valid
yoy,T2_roll_p25,P1_long_cash_pro,3,LB36,0.7135,0.6213,0.8399,0.4642,0.094,0.1513,-0.2025,0.48,7,0.84,100,True
yoy,T2_roll_p25,P1_long_cash_counter,3,LB36,0.2761,0.7323,0.8876,0.6713,0.0542,0.074,-0.0807,0.19,7,0.84,100,True
yoy,T2_roll_p25,P2_signal_strength_pro,3,LB36,0.7306,0.9212,1.3742,0.9053,0.075,0.0814,-0.0829,0.64,96,11.52,100,True
yoy,T2_roll_p25,P2_signal_strength_counter,3,LB36,0.4685,0.6738,0.9107,0.4477,0.0732,0.1086,-0.1634,0.64,96,11.52,100,True
yoy,T2_roll_p25,P3_long_short_pro,3,LB36,0.3715,0.233,0.3676,0.1206,0.0398,0.1709,-0.3303,0.56,7,0.84,100,False
yoy,T2_roll_p25,P3_long_short_counter,3,LB36,-0.3715,-0.233,-0.4385,-0.0793,-0.0398,0.1709,-0.502,0.44,7,0.84,100,False
yoy,T2_roll_p75,P1_long_cash_pro,3,LB36,0.5083,0.802,0.9814,1.1044,0.0704,0.0878,-0.0638,0.14,7,0.84,100,True
yoy,T2_roll_p75,P1_long_cash_counter,3,LB36,0.5512,0.5402,0.6936,0.3249,0.0777,0.1439,-0.2393,0.53,7,0.84,100,True
yoy,T2_roll_p75,P2_signal_strength_pro,3,LB36,0.7306,0.9212,1.3742,0.9053,0.075,0.0814,-0.0829,0.64,96,11.52,100,True
yoy,T2_roll_p75,P2_signal_strength_counter,3,LB36,0.4685,0.6738,0.9107,0.4477,0.0732,0.1086,-0.1634,0.64,96,11.52,100,True
yoy,T2_roll_p75,P3_long_short_pro,3,LB36,-0.2477,-0.0427,-0.0847,-0.015,-0.0073,0.1713,-0.489,0.41,7,0.84,100,False
yoy,T2_roll_p75,P3_long_short_counter,3,LB36,0.2477,0.0427,0.0671,0.0185,0.0073,0.1713,-0.3953,0.59,7,0.84,100,False
yoy,T3_zscore_1.0,P1_long_cash_pro,3,LB36,0.479,0.6278,0.6068,0.6535,0.0417,0.0664,-0.0638,0.09,5,0.6,100,True
yoy,T3_zscore_1.0,P1_long_cash_counter,3,LB36,0.5878,0.6897,0.9751,0.4451,0.1065,0.1544,-0.2393,0.58,5,0.6,100,True
yoy,T3_zscore_1.0,P2_signal_strength_pro,3,LB36,0.7306,0.9212,1.3742,0.9053,0.075,0.0814,-0.0829,0.64,96,11.52,100,True
yoy,T3_zscore_1.0,P2_signal_strength_counter,3,LB36,0.4685,0.6738,0.9107,0.4477,0.0732,0.1086,-0.1634,0.64,96,11.52,100,True
yoy,T3_zscore_1.0,P3_long_short_pro,3,LB36,-0.3585,-0.3807,-0.7015,-0.1115,-0.0648,0.1703,-0.5814,0.39,5,0.6,100,False
yoy,T3_zscore_1.0,P3_long_short_counter,3,LB36,0.3585,0.3807,0.6069,0.2387,0.0648,0.1703,-0.2716,0.61,5,0.6,100,True
yoy,T3_zscore_neg_1.0,P1_long_cash_pro,3,LB36,0.3094,0.5781,0.6955,0.4676,0.0415,0.0717,-0.0887,0.13,7,0.84,100,True
yoy,T3_zscore_neg_1.0,P1_long_cash_counter,3,LB36,0.6658,0.702,0.9466,0.527,0.1067,0.152,-0.2025,0.54,7,0.84,100,True
yoy,T3_zscore_neg_1.0,P2_signal_strength_pro,3,LB36,0.7306,0.9212,1.3742,0.9053,0.075,0.0814,-0.0829,0.64,96,11.52,100,True
yoy,T3_zscore_neg_1.0,P2_signal_strength_counter,3,LB36,0.4685,0.6738,0.9107,0.4477,0.0732,0.1086,-0.1634,0.64,96,11.52,100,True
yoy,T3_zscore_neg_1.0,P3_long_short_pro,3,LB36,-0.3825,-0.3831,-0.7258,-0.1212,-0.0652,0.1703,-0.5381,0.39,7,0.84,100,False
yoy,T3_zscore_neg_1.0,P3_long_short_counter,3,LB36,0.3825,0.3831,0.5919,0.1975,0.0652,0.1703,-0.3303,0.61,7,0.84,100,True
yoy,T3_zscore_1.5,P1_long_cash_pro,3,LB36,0.2767,0.4467,0.7551,0.3766,0.0231,0.0518,-0.0614,0.04,2,0.24,100,True
yoy,T3_zscore_1.5,P1_long_cash_counter,3,LB36,0.6762,0.786,1.1555,0.5226,0.125,0.1591,-0.2393,0.63,2,0.24,100,True
