date,position,strategy_return,bh_return
1993-02-28,1.0,0.010668439624825998,0.010668439624825998
1993-03-31,1.0,0.022399542610301637,0.022399542610301637
1993-04-30,1.0,-0.02558764690265869,-0.02558764690265869
1993-05-31,1.0,0.02696902287519709,0.02696902287519709
1993-06-30,1.0,0.003607334216028102,0.003607334216028102
1993-07-31,1.0,-0.004854198795668507,-0.004854198795668507
1993-08-31,1.0,0.03832780243960321,0.03832780243960321
1993-09-30,1.0,-0.007276106197555254,-0.007276106197555254
1993-10-31,1.0,0.019727760419326446,0.019727760419326446
1993-11-30,1.0,-0.010674362284205818,-0.010674362284205818
1993-12-31,1.0,0.012277160017064803,0.012277160017064803
1994-01-31,1.0,0.03487629374233281,0.03487629374233281
1994-02-28,1.0,-0.029164025112067393,-0.029164025112067393
1994-03-31,1.0,-0.04190105596723126,-0.04190105596723126
1994-04-30,1.0,0.011212159686740275,0.011212159686740275
1994-05-31,1.0,0.015938915957772082,0.015938915957772082
1994-06-30,1.0,-0.022913721438210133,-0.022913721438210133
1994-07-31,1.0,0.03232565954569577,0.03232565954569577
1994-08-31,1.0,0.038120908852921076,0.038120908852921076
1994-09-30,1.0,-0.025254591763071654,-0.025254591763071654
1994-10-31,1.0,0.028426381558469105,0.028426381558469105
1994-11-30,1.0,-0.039815487040717135,-0.039815487040717135
1994-12-31,1.0,0.007282353123641672,0.007282353123641672
1995-01-31,1.0,0.03360743876181593,0.03360743876181593
1995-02-28,1.0,0.040808921673925136,0.040808921673925136
1995-03-31,1.0,0.02784867115377443,0.02784867115377443
1995-04-30,1.0,0.029621799625740408,0.029621799625740408
1995-05-31,1.0,0.03967347158543588,0.03967347158543588
1995-06-30,1.0,0.020229841001825122,0.020229841001825122
1995-07-31,0.0,0.0,0.032165107052906095
1995-08-31,0.0,0.0,0.004452161648357711
1995-09-30,0.0,0.0,0.04237619884214605
1995-10-31,0.0,-0.0,-0.00293858809516212
1995-11-30,0.0,0.0,0.04447961380662635
1995-12-31,0.0,0.0,0.015733593629163156
1996-01-31,0.0,0.0,0.035578291899735826
1996-02-29,0.0,0.0,0.0031894549165116803
1996-03-31,0.0,0.0,0.01721817933278147
1996-04-30,0.0,0.0,0.010869578143823277
1996-05-31,0.0,0.0,0.02270037493279564
1996-06-30,0.0,0.0,0.008822274479218573
1996-07-31,0.0,-0.0,-0.044936106309036994
1996-08-31,0.0,0.0,0.019258554698032393
1996-09-30,0.0,0.0,0.05587264785431678
1996-10-31,0.0,0.0,0.03233183524020178
1996-11-30,0.0,0.0,0.07300383796630494
1996-12-31,0.0,-0.0,-0.02379768640675295
1997-01-31,0.0,0.0,0.061786377234655854
1997-02-28,1.0,0.009565073856522277,0.009565073856522277
1997-03-31,0.0,-0.0,-0.04412288519303742
1997-04-30,0.0,0.0,0.06260332252447509
1997-05-31,0.0,0.0,0.0632077862186744
1997-06-30,0.0,0.0,0.04110210023733796
1997-07-31,1.0,0.0792642171785567,0.0792642171785567
1997-08-31,0.0,-0.0,-0.051803135766548825
1997-09-30,0.0,0.0,0.048090932294057476
1997-10-31,0.0,-0.0,-0.02450346399091674
1997-11-30,0.0,0.0,0.03869575693999683
1997-12-31,0.0,0.0,0.019072129888708433
1998-01-31,1.0,0.012877871244987071,0.012877871244987071
1998-02-28,0.0,0.0,0.06929465994223416
1998-03-31,0.0,0.0,0.04878339577560986
1998-04-30,1.0,0.012791486732755875,0.012791486732755875
1998-05-31,0.0,-0.0,-0.020768937992729497
1998-06-30,0.0,0.0,0.0425735249132857
1998-07-31,0.0,-0.0,-0.013513876106186928
1998-08-31,0.0,-0.0,-0.14117973425938168
1998-09-30,1.0,0.0636390906393165,0.0636390906393165
1998-10-31,1.0,0.08108181713372375,0.08108181713372375
1998-11-30,0.0,0.0,0.05568146893762327
1998-12-31,0.0,0.0,0.06542233595232383
1999-01-31,0.0,0.0,0.035225812938024514
1999-02-28,0.0,-0.0,-0.03206846513746042
1999-03-31,0.0,0.0,0.04146705032740794
1999-04-30,0.0,0.0,0.037975504597657306
1999-05-31,0.0,-0.0,-0.02286614616071725
1999-06-30,1.0,0.055378604720801805,0.055378604720801805
1999-07-31,1.0,-0.03102239476045232,-0.03102239476045232
1999-08-31,1.0,-0.005178226507542516,-0.005178226507542516
1999-09-30,0.0,-0.0,-0.02233690270798605
1999-10-31,1.0,0.06407684955552728,0.06407684955552728
1999-11-30,1.0,0.016652401262132743,0.016652401262132743
1999-12-31,0.0,0.0,0.05710843375600172
2000-01-31,0.0,-0.0,-0.04978729691835404
2000-02-29,0.0,-0.0,-0.015225431142841916
2000-03-31,0.0,0.0,0.09691386938944091
2000-04-30,1.0,-0.03512014087593118,-0.03512014087593118
2000-05-31,0.0,-0.0,-0.015722520362066894
2000-06-30,1.0,0.01968180747117798,0.01968180747117798
2000-07-31,1.0,-0.015702694105496295,-0.015702694105496295
2000-08-31,0.0,0.0,0.0653411967175126
2000-09-30,0.0,-0.0,-0.05486248937898042
2000-10-31,0.0,-0.0,-0.004677820986330072
2000-11-30,0.0,-0.0,-0.07465298317883895
2000-12-31,0.0,-0.0,-0.005226961413693609
2001-01-31,0.0,0.0,0.0444599365698235
2001-02-28,1.0,-0.09538742290107882,-0.09538742290107882
2001-03-31,1.0,-0.05603775551510248,-0.05603775551510248
2001-04-30,0.0,0.0,0.08544031507738414
2001-05-31,1.0,-0.005606006438173106,-0.005606006438173106
2001-06-30,0.0,-0.0,-0.023828855371422653
2001-07-31,0.0,-0.0,-0.010195896840986762
2001-08-31,1.0,-0.05933286524531134,-0.05933286524531134
