signal,threshold,strategy,lookback,signal_column,lead_months,oos_sharpe,valid,lead_source
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,1,0.6975,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,2,0.7217,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,3,0.811,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,4,0.7345,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,5,0.8144,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,6,0.8795,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,7,0.8881,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,8,0.9086,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,9,1.0276,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,10,0.9629,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,11,0.9908,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_pro,LB_NA,busloans_pct_yoy,12,1.092,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,1,0.574,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,2,0.5308,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,3,0.359,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,4,0.4871,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,5,0.3654,True,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,6,0.2725,False,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,7,0.2647,False,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,8,0.2404,False,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,9,0.0813,False,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,10,0.1679,False,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,11,0.1288,False,pipeline
yoy,T1_fixed_p25,P1_long_cash_counter,LB_NA,busloans_pct_yoy,12,-0.008,False,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,1,0.3595,True,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,2,0.4077,True,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,3,0.539,True,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,4,0.3534,True,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,5,0.4858,True,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,6,0.5814,True,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,7,0.5856,True,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,8,0.6094,True,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,9,0.7952,True,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,10,0.6925,True,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,11,0.7392,True,pipeline
yoy,T1_fixed_p25,P3_long_short_pro,LB_NA,busloans_pct_yoy,12,0.9032,True,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,1,-0.3595,False,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,2,-0.4077,False,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,3,-0.539,False,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,4,-0.3534,False,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,5,-0.4858,False,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,6,-0.5814,False,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,7,-0.5856,False,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,8,-0.6094,False,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,9,-0.7952,False,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,10,-0.6925,False,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,11,-0.7392,False,pipeline
yoy,T1_fixed_p25,P3_long_short_counter,LB_NA,busloans_pct_yoy,12,-0.9032,False,pipeline
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,busloans_pct_yoy,1,0.8258,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,busloans_pct_yoy,2,0.6842,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,busloans_pct_yoy,3,0.9261,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,busloans_pct_yoy,4,0.8973,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,busloans_pct_yoy,5,0.6907,True,pipeline
yoy,T1_fixed_p50,P1_long_cash_pro,LB_NA,busloans_pct_yoy,6,0.8576,True,pipeline
