transform,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,best_lead,best_r
busloans_pct_yoy,+0.009,-0.001,-0.000,-0.011,-0.019,-0.009,+0.005,+0.003,+0.008,+0.013,+0.008,+0.000,-0.005,L4,-0.019
busloans_pct_mom,+0.035,+0.006,+0.030,+0.000,-0.050,-0.077,+0.039,+0.033,-0.024,+0.014,+0.045,+0.025,-0.021,L5,-0.077
busloans_3m_pct,+0.029,+0.017,-0.004,-0.051,-0.038,+0.001,+0.022,+0.008,+0.014,+0.035,+0.022,+0.007,-0.019,L3,-0.051
busloans_6m_pct,-0.012,-0.013,-0.005,-0.020,-0.017,+0.008,+0.032,+0.016,+0.011,+0.008,-0.008,-0.018,-0.019,L6,+0.032
busloans_dev_trend_pct,+0.004,-0.004,-0.005,-0.015,-0.017,-0.002,+0.020,+0.008,+0.001,+0.010,+0.009,-0.003,-0.010,L6,+0.020
busloans_zscore_60m,+0.029,+0.020,+0.015,+0.006,-0.000,+0.003,+0.011,+0.003,-0.007,-0.008,-0.013,-0.025,-0.034,L12,-0.034
busloans_accel_pct,+0.034,-0.028,+0.035,+0.059,+0.031,-0.135**,+0.007,+0.067,-0.044,-0.037,+0.023,+0.055,-0.040,L5,-0.135
busloans_contraction,-0.007,-0.005,-0.018,-0.010,-0.044,-0.058,-0.056,-0.046,-0.074,-0.055,-0.058,-0.034,+0.006,L8,-0.074
