regime,n_days,ann_return_pct,ann_vol_pct,sharpe
Q1_low,1239,52.92,8.1,6.53
Q2,1239,44.6,11.42,3.906
Q3,1238,25.39,15.69,1.619
Q4_high,1239,-76.03,31.98,-2.378
