transform,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,best_lead,best_r
cass_freight_pct_yoy,+0.038,+0.022,+0.017,-0.015,-0.014,-0.017,-0.010,-0.009,-0.037,-0.042,-0.058,-0.065,-0.056,L11,-0.065
cass_freight_pct_mom,+0.020,+0.095,+0.058,-0.037,+0.034,-0.082,-0.001,+0.036,+0.078,-0.002,-0.044,-0.075,-0.018,L1,+0.095
cass_freight_3m_pct,+0.113*,+0.073,+0.035,-0.050,-0.030,-0.025,+0.078,+0.071,+0.020,-0.077,-0.089,-0.008,+0.037,L0,+0.113
cass_freight_6m_pct,+0.049,+0.037,+0.012,+0.025,+0.035,-0.006,-0.001,-0.012,+0.011,-0.032,-0.049,-0.018,-0.016,L10,-0.049
cass_freight_dev_trend_pct,+0.089,+0.079,+0.015,-0.024,-0.002,-0.028,+0.032,+0.028,-0.002,-0.061,-0.067,-0.046,+0.005,L0,+0.089
cass_freight_zscore_60m,+0.066,+0.072,+0.015,-0.019,-0.006,-0.032,+0.013,+0.019,-0.006,-0.045,-0.046,-0.027,+0.019,L1,+0.072
cass_freight_yoy_zscore_60m,+0.047,+0.039,+0.025,+0.011,+0.013,+0.002,+0.021,+0.031,-0.007,-0.009,-0.039,-0.038,-0.026,L0,+0.047
cass_freight_accel_pct,-0.049,+0.024,+0.063,-0.047,+0.076,-0.053,-0.024,-0.028,+0.052,+0.028,+0.021,-0.037,-0.065,L4,+0.076
cass_freight_contraction,-0.031,-0.026,-0.062,-0.002,-0.002,+0.005,+0.014,-0.028,-0.006,+0.072,+0.024,+0.060,+0.057,L9,+0.072
