lead_months,oos_sharpe,is_published_winner
1,1.3224,False
2,2.2744,False
3,2.4944,True
4,1.1427,False
5,0.7867,False
6,1.0228,False
7,1.2579,False
8,1.3417,False
9,1.5597,False
10,1.3142,False
11,1.3265,False
12,1.3382,False
