lag,f_statistic,p_value,df_num,df_den
1,0.7479,0.3877,1,395
2,0.2598,0.7713,2,392
3,0.6209,0.6019,3,389
4,0.4388,0.7806,4,386
5,0.3848,0.8592,5,383
6,0.3161,0.9285,6,380
7,0.2699,0.9653,7,377
8,0.3,0.9657,8,374
9,0.2642,0.9836,9,371
10,0.2158,0.9948,10,368
11,0.2154,0.9966,11,365
12,0.2243,0.9972,12,362
