tau,coef,se,p_value,ci_lower,ci_upper
0.05,0.000193,0.001687,0.9091,-0.003123,0.003509
0.1,-0.001074,0.001066,0.314,-0.003169,0.001021
0.25,0.000562,0.000628,0.371,-0.000672,0.001796
0.5,0.000465,0.000439,0.2903,-0.000398,0.001329
0.75,-0.000309,0.000453,0.4955,-0.001201,0.000582
0.9,-0.000259,0.000656,0.6925,-0.001548,0.001029
0.95,0.000232,0.0009,0.7967,-0.001537,0.002001
