date,signal,threshold,position,strategy_return,benchmark_return,strategy_equity,benchmark_equity
1993-01-31,,0.0,0.0,0.0,0.0,1.0,1.0
1993-02-28,,0.0,0.0,0.0,0.010668391880305883,1.0,1.0106683918803059
1993-03-31,,0.0,0.0,0.0,0.022398227088122447,1.0,1.0333055720324285
1993-04-30,,0.0,0.0,-0.0,-0.025587295395257503,1.0,1.0068660771272693
1993-05-31,,0.0,0.0,0.0,0.026969616552683817,1.0,1.0340208691472967
1993-06-30,,0.0,0.0,0.0,0.0036071414883922515,1.0,1.0377507287242613
1993-07-31,,0.0,0.0,-0.0,-0.004854204277507934,1.0,1.032713274697901
1993-08-31,,0.0,0.0,0.0,0.03832728113867545,1.0,1.0722943667128897
1993-09-30,,0.0,0.0,-0.0,-0.007275307226931038,1.0,1.064493095757346
1993-10-31,,0.0,0.0,0.0,0.019727604542846944,1.0,1.0854929945890377
1993-11-30,-0.38535013031004706,0.0,0.0,-0.0,-0.01067358773259186,1.0,1.0739068898781778
1993-12-31,-0.8020192168285645,0.0,0.0,0.0,0.01227695900285286,1.0,1.0870912007380935
1994-01-31,2.786912473011127,0.0,1.0,0.034875749199684725,0.034875749199684725,1.0348757491996847,1.1250043208122193
1994-02-28,0.5280506721820011,0.0,1.0,-0.029163641267469287,-0.029163641267469287,1.0046950040936216,1.092195098375699
1994-03-31,-0.1182998257649337,0.0,0.0,-0.0,-0.04190186790028316,1.0046950040936216,1.0464300836422236
1994-04-30,1.8757281803376769,0.0,1.0,0.011212626656533553,0.011212626656533553,1.0159602740782079,1.058163313492269
1994-05-31,-0.5320123588619219,0.0,0.0,0.0,0.01593908690912582,1.0159602740782079,1.075029470510071
1994-06-30,0.7050976655550212,0.0,1.0,-0.022914250211392262,-0.022914250211392262,0.9926803061531452,1.0503959762381827
1994-07-31,0.7809001166934726,0.0,1.0,0.03232573410585693,0.03232573410585693,1.0247694257819724,1.0843507972719202
1994-08-31,1.3963560801887764,0.0,1.0,0.03812195872587942,0.03812195872587942,1.063835643535176,1.1256883736098948
1994-09-30,0.7740549616058967,0.0,1.0,-0.025255477560746642,-0.025255477560746642,1.0369679663115507,1.0972585761497968
1994-10-31,-0.5445368680248475,0.0,0.0,0.0,0.02842673493719783,1.0369679663115507,1.1284500548515741
1994-11-30,1.666574284500122,0.0,1.0,-0.039816130472838496,-0.039816130472838496,0.995679914468736,1.083519540235522
1994-12-31,1.9718309859154903,0.0,1.0,0.007282355361420967,0.007282355361420967,1.0029308094321265,1.0914101145685606
1995-01-31,-0.04039683954137896,0.0,0.0,0.0,0.033607570061399805,1.0029308094321265,1.128089756459644
1995-02-28,-0.5051645647858649,0.0,0.0,0.0,0.0408100101755422,1.0029308094321265,1.174127110899687
1995-03-31,1.1498578357584943,0.0,1.0,0.02784783758944731,0.02784783758944731,1.0308602637266453,1.2068240119933884
1995-04-30,0.10452529571209901,0.0,1.0,0.029622672302538566,0.029622672302538566,1.0613970995087283,1.2425733642275034
1995-05-31,1.6623995658175739,0.0,1.0,0.03967264846663543,0.03967264846663543,1.1035055335210446,1.2918695405005056
1995-06-30,0.9783441264535897,0.0,1.0,0.020229667758803638,0.020229667758803638,1.1258290838341767,1.3180036320925492
1995-07-31,0.7418772770632964,0.0,1.0,0.032165216032363775,0.032165216032363775,1.162041619531221,1.3603975036502463
1995-08-31,0.2578304593603198,0.0,1.0,0.004451770125764032,0.004451770125764032,1.1672147616979447,1.3664536806161605
1995-09-30,0.23156445400287495,0.0,1.0,0.04237667637079823,0.04237667637079823,1.2166774439096368,1.4243594460153175
1995-10-31,0.5494755006584695,0.0,1.0,-0.002938716993856616,-0.002938716993856616,1.2131019732291775,1.4201736567059522
1995-11-30,-1.454249841929367,0.0,0.0,0.0,0.04448014008931578,1.2131019732291775,1.4833431799073888
1995-12-31,1.0403299725022963,0.0,1.0,0.015733273438494955,0.015733273438494955,1.23218803828277,1.5066810237599984
1996-01-31,-0.013040322946433758,0.0,0.0,0.0,0.03557775781408479,1.23218803828277,1.560285356326409
1996-02-29,1.5123077010314567,0.0,1.0,0.0031901700906953323,0.0031901700906953323,1.2361189277086122,1.5652629320031113
1996-03-31,1.3194056529996612,0.0,1.0,0.01721856740993588,0.01721856740993588,1.2574031247920605,1.5922145173120807
1996-04-30,-0.7514527351115352,0.0,0.0,0.0,0.01086955441762072,1.2574031247920605,1.6095211796525302
1996-05-31,0.9821185541526223,0.0,1.0,0.022699572951665914,0.022699572951665914,1.2859456387529307,1.6460566230873042
1996-06-30,0.15787707591852218,0.0,1.0,0.008822226301469449,0.008822226301469449,1.2972905421893968,1.660578507121213
1996-07-31,-0.364137658314756,0.0,0.0,-0.0,-0.04493632085694976,1.2972905421893968,1.5859582185170595
1996-08-31,1.60739977178892,0.0,1.0,0.019259598852038984,0.019259598852038984,1.3222758376265087,1.6165031376017924
1996-09-30,0.2788522571300023,0.0,1.0,0.05587181172966793,0.05587181172966793,1.3961537842810658,1.7068200965662972
1996-10-31,-0.11090613013347017,0.0,0.0,0.0,0.0323317173452935,1.3961537842810658,1.7620045214877453
1996-11-30,1.5923221906886997,0.0,1.0,0.07300383717065362,0.07300383717065362,1.4980783678139127,1.8906376126683921
1996-12-31,0.352390497718269,0.0,1.0,-0.02379708213611864,-0.02379708213611864,1.4624284738487026,1.8456459541100871
1997-01-31,0.8186488309949613,0.0,1.0,0.06178550330498922,0.06178550330498922,1.5527853531529918,1.9596801183075958
1997-02-28,0.9305609712400909,0.0,1.0,0.009565583049463644,0.009565583049463644,1.5676386504065676,1.97842560122965
1997-03-31,-0.8269640395940359,0.0,0.0,-0.0,-0.04412308918557317,1.5676386504065676,1.891131351979573
1997-04-30,0.6069698883975683,0.0,1.0,0.0626036671528587,0.0626036671528587,1.665778578692577,2.0095231096812376
1997-05-31,0.013604516699539104,0.0,1.0,0.06320765619607349,0.06320765619607349,1.7710685383933613,2.1365403555160336
1997-06-30,1.1321603649699918,0.0,1.0,0.04110232721140772,0.04110232721140772,1.843863576972235,2.224357136308831
1997-07-31,1.095171828683461,0.0,1.0,0.0792632890423337,0.0792632890423337,1.9900142686284166,2.400666998937455
1997-08-31,-0.2865622761232256,0.0,0.0,-0.0,-0.05180265535857553,1.9900142686284166,2.2763060737607925
1997-09-30,0.23504054192753365,0.0,1.0,0.04809008295369388,0.04809008295369388,2.0857142198857916,2.3857738216759463
1997-10-31,1.0900173051126893,0.0,1.0,-0.02450289052335508,-0.02450289052335508,2.034608192692925,2.3273154669099343
1997-11-30,0.7313354976272057,0.0,1.0,0.03869635258154114,0.03869635258154114,2.113340108682663,2.417374086785955
1997-12-31,0.7345732084408141,0.0,1.0,0.019071523645400212,0.019071523645400212,2.1536447245361767,2.4634770938418713
1998-01-31,-1.5672416546877455,0.0,0.0,0.0,0.012878558300160048,2.1536447245361767,2.4952031272160227
1998-02-28,-0.1394438472303916,0.0,0.0,0.0,0.06929442996922752,2.1536447245361767,2.668106805573891
1998-03-31,1.2054616450946298,0.0,1.0,0.04878360572961293,0.04878360572961293,2.2587072796596104,2.798266676021505
1998-04-30,1.2242174290430619,0.0,1.0,0.012791420660774877,0.012791420660774877,2.287599354623291,2.8340604821955244
1998-05-31,0.06988812942687606,0.0,1.0,-0.02076907447143439,-0.02076907447143439,2.2400880332663147,2.775199668984256
1998-06-30,0.5448457591187283,0.0,1.0,0.04257363793841362,0.04257363793841362,2.335456730144768,2.893350014898397
1998-07-31,0.031035705840620764,0.0,1.0,-0.01351369527687718,-0.01351369527687718,2.3038960795612597,2.854250164467712
1998-08-31,-0.13641624190490198,0.0,0.0,-0.0,-0.14118029888025485,2.3038960795612597,2.451286273169144
1998-09-30,0.5222460030180898,0.0,1.0,0.06363990790029805,0.06363990790029805,2.4505158138763963,2.607285905830893
