date,signal_value,position,strategy_return,benchmark_return,strategy_equity,benchmark_equity
1993-01-31,,0.0,,,1.0,1.0
1993-02-28,,0.0,0.0,0.010668953172249696,1.0,1.0106689531722497
1993-03-31,,0.0,0.0,0.02239932629838992,1.0,1.0333072568340071
1993-04-30,,0.0,-0.0,-0.02558780774026914,1.0,1.0068671894095136
1993-05-31,,0.0,0.0,0.02696874179783393,1.0,1.0340211306654095
1993-06-30,,0.0,0.0,0.003607372635236361,1.0,1.037751230196428
1993-07-31,,0.0,-0.0,-0.004853824276926488,1.0,1.0327141680818903
1993-08-31,,0.0,0.0,0.038326585922410894,1.0,1.072294576378172
1993-09-30,,0.0,-0.0,-0.007274647083682861,1.0,1.0644940117652735
1993-10-31,-0.3500000000000001,0.0,0.0,0.019727230074926938,1.0,1.085493530048749
1993-11-30,0.009999999999999787,0.0,-0.0,-0.010673079977999156,1.0,1.0739079707869381
1993-12-31,-0.3799999999999999,0.0,0.0,0.012276292483215379,1.0,1.0870915791363749
1994-01-31,-0.3500000000000001,0.0,0.0,0.03487583465051802,1.0,1.1250048053003057
1994-02-28,-0.6599999999999997,0.0,-0.0,-0.02916350884860519,1.0,1.092195717706207
1994-03-31,-0.28000000000000025,0.0,-0.0,-0.04190187396956302,1.0,1.046430670392785
1994-04-30,-0.3999999999999999,0.0,0.0,0.011212325992041805,1.0,1.0581635921972998
1994-05-31,0.25,0.0,0.0,0.01593931831326234,1.0,1.0750299985208378
1994-06-30,0.33999999999999986,0.0,-0.0,-0.022913813795628957,1.0,1.0503969613100161
1994-07-31,0.31999999999999984,0.0,0.0,0.032325802107516344,1.0,1.0843518856156602
1994-08-31,0.06000000000000005,0.0,0.0,0.03812085340606197,1.0,1.1256883048878017
1994-09-30,0.4500000000000002,0.0,-0.0,-0.0252541619944463,1.0,1.0972599900809115
1994-10-31,0.43999999999999995,0.0,0.0,0.028425997660446622,1.0,1.128450699991853
1994-11-30,0.17999999999999972,0.0,-0.0,-0.03981550519300825,1.0,1.0835208652862738
1994-12-31,-0.1299999999999999,0.0,0.0,0.0072814756115500145,1.0,1.0914104960414615
