transform,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,best_lead,best_r
t10y3m,-0.074,-0.076,-0.079,-0.057,-0.047,-0.023,-0.010,-0.016,+0.003,+0.009,+0.019,+0.023,+0.033,L2,-0.079
t10y3m_mom,+0.011,+0.004,-0.080,-0.051,-0.105*,-0.051,+0.013,-0.076,-0.031,-0.035,-0.018,-0.053,-0.008,L4,-0.105
t10y3m_3m_chg,-0.038,-0.073,-0.134**,-0.119*,-0.081,-0.064,-0.054,-0.081,-0.049,-0.059,-0.045,+0.005,+0.011,L2,-0.134
t10y3m_6m_chg,-0.105*,-0.103*,-0.134**,-0.115*,-0.110*,-0.075,-0.076,-0.086,-0.030,-0.033,-0.053,-0.073,-0.080,L2,-0.134
t10y3m_12m_chg,-0.119*,-0.125*,-0.109*,-0.101,-0.110*,-0.100,-0.106*,-0.092,-0.091,-0.088,-0.076,-0.061,-0.040,L1,-0.125
t10y3m_zscore_60m,-0.089,-0.092,-0.100,-0.091,-0.086,-0.057,-0.049,-0.063,-0.053,-0.045,-0.036,-0.029,-0.024,L2,-0.100
t10y3m_inversion_flag,+0.016,+0.031,+0.055,+0.014,+0.017,-0.002,-0.013,-0.015,-0.006,-0.001,+0.009,+0.010,+0.032,L2,+0.055
t10y3m_curve_steepening,+0.035,-0.033,-0.052,+0.034,-0.054,-0.021,+0.030,-0.049,+0.009,-0.020,-0.015,-0.020,+0.060,L12,+0.060
