date,signal_value,position,strategy_return,benchmark_return,strategy_equity,benchmark_equity,spy
2017-10-31,-0.43999999999999995,0.0,0.0,0.023564197423210587,0.8325604543948566,9.314587784333371,224.6050262451172
2017-11-30,-0.6000000000000001,0.0,0.0,0.03056567331636506,0.8325604543948566,9.599294431625909,231.47023010253906
2017-12-31,-0.3599999999999999,0.0,0.0,0.012127913707602467,0.8325604543948566,9.715713846146537,234.27748107910156
2018-01-31,-0.26,0.0,0.0,0.05635925729253621,0.8325604543948566,10.263284262582166,247.48118591308594
2018-02-28,-0.11999999999999988,0.0,-0.0,-0.0363602968309803,0.8325604543948566,9.89010820033395,238.48269653320312
2018-03-31,-0.010000000000000009,0.0,-0.0,-0.027410740484382967,0.8325604543948566,9.619013011092129,231.94570922851562
2018-04-30,0.0,0.0,0.0,0.005168282656813794,0.8325604543948566,9.668726789213023,233.14447021484375
2018-05-31,0.039999999999999813,0.0,0.0,0.024309270626327484,0.8325604543948566,9.903766485344025,238.81204223632812
2018-06-30,-0.26,0.0,0.0,0.005750637699601713,0.8325604543948566,9.960719458262696,240.18536376953125
2018-07-31,0.030000000000000027,0.0,0.0,0.03704674759611781,0.8325604543948566,10.329731717908693,249.0834503173828
2018-08-31,0.07000000000000006,0.0,0.0,0.031919697293538274,0.8325604543948566,10.6594536274678,257.03411865234375
2018-09-30,0.0,0.0,0.0,0.0059456260817758455,0.8325604543948566,10.722830752972753,258.5623474121094
2018-10-31,-0.17999999999999994,0.0,-0.0,-0.06910446663710457,0.8325604543948566,9.981835252948628,240.6945343017578
2018-11-30,-0.31999999999999995,0.0,0.0,0.018549200442216973,0.8325604543948566,10.16699031583676,245.1592254638672
2018-12-31,-0.08999999999999997,0.0,-0.0,-0.08804839558454713,0.8325604543948566,9.271803130603704,223.57334899902344
2019-01-31,-0.15000000000000002,0.0,0.0,0.08006584447297427,0.8325604543948566,10.014157878042656,241.47393798828125
2019-02-28,-0.15000000000000002,0.0,0.0,0.03241581989677744,0.8325604543948566,10.338775016235182,249.301513671875
2019-03-31,-0.06000000000000005,0.0,0.0,0.018100437354757748,0.8325604543948566,10.525911365741482,253.81398010253906
2019-04-30,-0.12,0.0,0.0,0.04085228568338506,0.8325604543948566,10.955918903932742,264.182861328125
2019-05-31,-0.10999999999999999,0.0,-0.0,-0.0637709743986885,0.8325604543948566,10.257249279995941,247.33566284179688
2019-06-30,-0.62,0.0,0.0,0.06958608559606505,0.8325604543948566,10.971011106373915,264.5467834472656
2019-07-31,-0.5900000000000001,0.0,0.0,0.01511985288629658,0.8325604543948566,11.136891180316214,268.54669189453125
2019-08-31,-0.36,0.0,-0.0,-0.01674368032320961,0.8325604543948566,10.950418634598627,264.05023193359375
2019-09-30,-0.22999999999999998,0.0,0.0,0.019457958360214134,0.8325604543948566,11.16349142441756,269.1881103515625
2019-10-31,-0.14,0.0,0.0,0.022104681276752247,0.8325604543948566,11.410256844290066,275.138427734375
2019-11-30,-0.49,0.0,0.0,0.03619804306603469,0.8325604543948566,11.823285812934195,285.097900390625
2019-12-31,-0.13,0.0,0.0,0.029055495944803722,0.8325604543948566,12.16681724592616,293.3815612792969
2020-01-31,-0.14,0.0,-0.0,-0.0004034939518035019,0.8325604543948566,12.161908008754729,293.26318359375
2020-02-29,-0.28,0.0,-0.0,-0.07916585498240936,0.8325604543948566,11.19910016302425,270.0467529296875
2020-03-31,-0.08000000000000002,0.0,-0.0,-0.12487122681574148,0.8325604543948566,9.800654786435041,236.32568359375
2020-04-30,0.21,1.0,0.0,0.12698349156499544,0.8325604543948566,11.045176150839747,266.33514404296875
2020-05-31,0.6799999999999999,1.0,0.04764525447247525,0.04764525447247525,0.8722280091082192,11.571426379239822,279.0247497558594
2020-06-30,0.5700000000000001,1.0,0.01773428065784821,0.01773428065784821,0.8876963454193805,11.77663730226089,283.9730529785156
2020-07-31,-0.19,0.0,0.0588923711603444,0.0588923711603444,0.9399748880714999,12.470191397286394,300.6968994140625
2020-08-31,-0.33,0.0,0.0,0.06979666375594773,0.9399748880714999,13.340569153215105,321.6845397949219
