direction,lag,f_statistic,p_value,significant
indicator_to_target,1,2.152613,0.143133,False
target_to_indicator,1,1.122848,0.289962,False
indicator_to_target,2,1.354336,0.259339,False
target_to_indicator,2,0.659294,0.517796,False
indicator_to_target,3,0.729519,0.534873,False
target_to_indicator,3,0.46004,0.710362,False
indicator_to_target,4,1.01214,0.400921,False
target_to_indicator,4,0.34083,0.850349,False
indicator_to_target,5,0.939869,0.455019,False
target_to_indicator,5,0.548552,0.73943,False
indicator_to_target,6,1.508007,0.174248,False
target_to_indicator,6,1.216838,0.296659,False
indicator_to_target,7,1.390778,0.207778,False
target_to_indicator,7,1.54386,0.151106,False
indicator_to_target,8,1.291685,0.246324,False
target_to_indicator,8,1.373754,0.206436,False
indicator_to_target,9,1.259103,0.257901,False
target_to_indicator,9,1.324781,0.222215,False
indicator_to_target,10,1.151499,0.322792,False
target_to_indicator,10,1.183982,0.300153,False
indicator_to_target,11,1.07764,0.378245,False
target_to_indicator,11,1.122648,0.342032,False
indicator_to_target,12,0.942157,0.50462,False
target_to_indicator,12,1.136235,0.329201,False
