date,rolling_corr
1996-01-31,-0.46266723333196197
1996-02-29,-0.44601495321151896
1996-03-31,-0.44603350330081376
1996-04-30,-0.4436950625681297
1996-05-31,-0.44560558541313716
1996-06-30,-0.4424591737643839
1996-07-31,-0.3824983915806845
1996-08-31,-0.3839270279431157
1996-09-30,-0.3854325668638013
1996-10-31,-0.3942143284263181
1996-11-30,-0.4202971417679599
1996-12-31,-0.3856094179936545
1997-01-31,-0.39222507568569054
1997-02-28,-0.3884324499118563
1997-03-31,-0.3564867754863674
1997-04-30,-0.3611894399913275
1997-05-31,-0.3562424279692632
1997-06-30,-0.3634740192260994
1997-07-31,-0.3912373685992631
1997-08-31,-0.33797305078584927
1997-09-30,-0.3484932287042461
1997-10-31,-0.3076055031513548
1997-11-30,-0.3183274452260866
1997-12-31,-0.3146616762644525
1998-01-31,-0.30582295453150193
1998-02-28,-0.33748628283698456
1998-03-31,-0.3637072879221498
1998-04-30,-0.33266525359438925
1998-05-31,-0.31720007495276514
1998-06-30,-0.3242623126022041
1998-07-31,-0.2863511461502424
1998-08-31,-0.14023992927702056
1998-09-30,-0.1585949615821871
1998-10-31,-0.18979507779739732
1998-11-30,-0.19374067661098848
1998-12-31,-0.21481955627055094
1999-01-31,-0.23679838358837232
1999-02-28,-0.19098495196064452
1999-03-31,-0.14136957784407017
1999-04-30,-0.1416729035438297
1999-05-31,-0.1396902985761126
1999-06-30,-0.09506551066913138
1999-07-31,-0.11712317888261832
1999-08-31,-0.1419757745847867
1999-09-30,-0.09339740748993348
1999-10-31,-0.11361470678814095
1999-11-30,-0.05497161428340844
1999-12-31,-0.03427017240295157
2000-01-31,-0.04428639200581661
2000-02-29,-0.044315501768188346
2000-03-31,-0.09383846470133657
2000-04-30,-0.07432194791093592
2000-05-31,-0.06262710351537108
2000-06-30,-0.06186436421408622
2000-07-31,-0.030159123896877454
2000-08-31,-0.07685938045470844
2000-09-30,-0.009144286185651771
2000-10-31,0.008682134256354447
2000-11-30,0.09941167041938585
2000-12-31,0.11250628589850867
2001-01-31,0.10484651092519888
2001-02-28,0.14073583766839476
2001-03-31,0.1400755435986607
2001-04-30,0.16726984038452378
2001-05-31,0.14974592979227813
2001-06-30,0.12843426346401113
2001-07-31,0.14359965398578323
2001-08-31,0.10833348933899228
2001-09-30,0.01237490750653204
2001-10-31,0.009174058423573201
2001-11-30,0.07210522625007203
2001-12-31,0.06836474697036343
2002-01-31,0.034322042807099294
2002-02-28,0.01085300172950418
2002-03-31,0.04622596324840703
2002-04-30,-0.018322745728695546
2002-05-31,-0.04132657202553992
2002-06-30,-0.09463681999586582
2002-07-31,-0.13073771089805272
2002-08-31,-0.12688087956528424
2002-09-30,-0.15331514065380553
2002-10-31,-0.1200624411021867
2002-11-30,-0.08232442855954719
2002-12-31,-0.09975350910944093
2003-01-31,-0.10649451229830889
2003-02-28,-0.09547724820546821
2003-03-31,-0.08448741603793598
2003-04-30,-0.04800673383595798
2003-05-31,-0.03870413759152278
2003-06-30,-0.02488857124291127
2003-07-31,-0.018528842650442606
2003-08-31,-0.05939716183019893
2003-09-30,-0.04280956807295832
2003-10-31,0.0069305414139597425
2003-11-30,0.031812531500990573
2003-12-31,0.07856593862023521
2004-01-31,0.10043658941051568
2004-02-29,0.09525978164907455
2004-03-31,0.10263781779651114
2004-04-30,0.1039385685183685
2004-05-31,0.10556049899844604
2004-06-30,0.12574114325905525
2004-07-31,0.11021021330388507
2004-08-31,0.10985027738319351
2004-09-30,0.10590633045343988
2004-10-31,0.12797997515915938
2004-11-30,0.13438999233479262
2004-12-31,0.15061064555865494
2005-01-31,0.13964705288005433
2005-02-28,0.1318974097451876
2005-03-31,0.19765107579471528
2005-04-30,0.18774599307080644
2005-05-31,0.1702633170277356
2005-06-30,0.18403035311980728
2005-07-31,0.1605127234962495
2005-08-31,0.23146649201231762
2005-09-30,0.1896935766589399
2005-10-31,0.2050785576606961
2005-11-30,0.10816754011182263
2005-12-31,0.10758951333481856
2006-01-31,0.12277464223650636
2006-02-28,0.038681776941361656
2006-03-31,-0.010902736902466726
2006-04-30,0.010052581604251506
2006-05-31,0.03373043293917254
