lag,ccf,upper_ci,lower_ci,significant
-12,0.20251726698629732,0.10067843739975277,-0.10067843739975277,True
-11,0.19273265177040433,0.10054587850434511,-0.10054587850434511,True
-10,0.24300968657193123,0.10054587850434511,-0.10054587850434511,True
-9,0.20804123895902887,0.10054587850434511,-0.10054587850434511,True
-8,0.20653065731835796,0.10054587850434511,-0.10054587850434511,True
-7,0.20260074052091562,0.10054587850434511,-0.10054587850434511,True
-6,0.18815328628052921,0.10054587850434511,-0.10054587850434511,True
-5,0.17073544017820783,0.10054587850434511,-0.10054587850434511,True
-4,0.14936856494656814,0.10054587850434511,-0.10054587850434511,True
-3,0.15005596106457708,0.10054587850434511,-0.10054587850434511,True
-2,0.12597943191327113,0.10054587850434511,-0.10054587850434511,True
-1,0.08293099831095614,0.10054587850434511,-0.10054587850434511,False
0,0.04760576369722328,0.10054587850434511,-0.10054587850434511,False
1,0.029388927813953112,0.10067843739975277,-0.10067843739975277,False
2,0.014026335528133661,0.10081152197523338,-0.10081152197523338,False
3,-0.0011874657805767675,0.10094513571442253,-0.10094513571442253,False
4,-0.01847592797959382,0.10107928213336174,-0.10107928213336174,False
5,-0.01393461756157608,0.10121396478088716,-0.10121396478088716,False
6,0.021113674404179543,0.10134918723902375,-0.10134918723902375,False
7,-0.002826378567073787,0.10148495312338555,-0.10148495312338555,False
8,0.009817864749507786,0.10162126608358167,-0.10162126608358167,False
9,0.006747126274125715,0.10175812980362833,-0.10175812980362833,False
10,0.014489208963266333,0.10189554800236712,-0.10189554800236712,False
11,0.018343723762107193,0.1020335244338893,-0.1020335244338893,False
12,0.02055628356231113,0.10217206288796664,-0.10217206288796664,False
