quartile,n_months,ann_return,ann_vol,sharpe,max_drawdown
Q1,78,0.185838,0.103606,1.7937,-0.136057
Q2,78,0.168305,0.113518,1.4826,-0.084725
Q3,77,0.075904,0.143045,0.5306,-0.286562
Q4,78,-0.112771,0.211369,-0.5335,-0.676386
