signal,threshold,strategy,lead_days,oos_sharpe,oos_ann_return,max_drawdown,win_rate,n_trades,annual_turnover,valid,oos_n
S1_spread_level,T1_p75,P1,5,0.6557,11.83,-30.73,0.5216,67,2.49,True,2088
S1_spread_level,T1_p75,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
S1_spread_level,T1_p75,P3,5,0.4658,8.9,-45.18,0.5307,67,4.98,True,2088
S1_spread_level,T1_p85,P1,5,0.8081,15.31,-33.72,0.533,37,1.37,True,2088
S1_spread_level,T1_p85,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
S1_spread_level,T1_p85,P3,5,0.8312,15.87,-33.72,0.535,37,2.75,True,2088
S1_spread_level,T1_p95,P1,5,0.7726,14.75,-33.72,0.534,17,0.63,False,2088
S1_spread_level,T1_p95,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
S1_spread_level,T1_p95,P3,5,0.7726,14.75,-33.72,0.534,17,1.26,False,2088
S1_spread_level,T2_rp75,P1,5,0.2772,3.74,-31.13,0.3812,121,4.5,True,2088
S1_spread_level,T2_rp75,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
S1_spread_level,T2_rp75,P3,5,-0.3805,-7.27,-70.41,0.4962,121,8.99,False,2088
S1_spread_level,T2_rp85,P1,5,0.5848,8.55,-25.11,0.4449,125,4.64,True,2088
S1_spread_level,T2_rp85,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
S1_spread_level,T2_rp85,P3,5,0.1229,2.35,-40.53,0.5086,125,9.29,True,2088
S1_spread_level,T2_rp95,P1,5,0.9554,15.23,-24.8,0.5029,97,3.6,True,2088
S1_spread_level,T2_rp95,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
S1_spread_level,T2_rp95,P3,5,0.8225,15.7,-25.3,0.5302,97,7.21,True,2088
S1_spread_level,T3_z1.5,P1,5,0.7267,11.14,-28.25,0.4828,107,3.98,True,2088
S1_spread_level,T3_z1.5,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
S1_spread_level,T3_z1.5,P3,5,0.394,7.53,-36.97,0.5225,107,7.95,True,2088
S1_spread_level,T3_z2.0,P1,5,0.8716,13.95,-24.8,0.5077,73,2.71,True,2088
S1_spread_level,T3_z2.0,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
S1_spread_level,T3_z2.0,P3,5,0.6881,13.14,-31.6,0.5311,73,5.42,True,2088
S1_spread_level,T3_z2.5,P1,5,0.7273,12.11,-24.37,0.5148,49,1.82,True,2088
S1_spread_level,T3_z2.5,P2,5,0.7111,8.37,-22.39,0.5297,5715,4.3,True,2088
S1_spread_level,T3_z2.5,P3,5,0.4957,9.47,-41.49,0.5311,49,3.64,True,2088
S1_spread_level,T1_p75,P1,10,0.716,13.25,-33.72,0.5216,67,2.49,True,2088
S1_spread_level,T1_p75,P2,10,0.633,7.8,-23.25,0.5278,5710,4.3,True,2088
S1_spread_level,T1_p75,P3,10,0.6153,11.75,-33.72,0.5307,67,4.98,True,2088
S1_spread_level,T1_p85,P1,10,0.7637,14.54,-33.72,0.5326,37,1.37,True,2088
S1_spread_level,T1_p85,P2,10,0.633,7.8,-23.25,0.5278,5710,4.3,True,2088
S1_spread_level,T1_p85,P3,10,0.7501,14.32,-33.72,0.5335,37,2.75,True,2088
S1_spread_level,T1_p95,P1,10,0.7726,14.75,-33.72,0.534,17,0.63,False,2088
S1_spread_level,T1_p95,P2,10,0.633,7.8,-23.25,0.5278,5710,4.3,True,2088
S1_spread_level,T1_p95,P3,10,0.7726,14.75,-33.72,0.534,17,1.26,False,2088
S1_spread_level,T2_rp75,P1,10,0.3744,5.21,-26.87,0.3817,121,4.5,True,2088
S1_spread_level,T2_rp75,P2,10,0.633,7.8,-23.25,0.5278,5710,4.3,True,2088
S1_spread_level,T2_rp75,P3,10,-0.2261,-4.32,-64.22,0.4966,121,8.99,False,2088
S1_spread_level,T2_rp85,P1,10,0.6309,9.61,-25.55,0.4473,125,4.64,True,2088
S1_spread_level,T2_rp85,P2,10,0.633,7.8,-23.25,0.5278,5710,4.3,True,2088
S1_spread_level,T2_rp85,P3,10,0.2338,4.47,-40.38,0.5125,125,9.29,True,2088
S1_spread_level,T2_rp95,P1,10,0.5854,9.72,-30.61,0.4981,97,3.6,True,2088
S1_spread_level,T2_rp95,P2,10,0.633,7.8,-23.25,0.5278,5710,4.3,True,2088
S1_spread_level,T2_rp95,P3,10,0.2449,4.68,-41.83,0.5211,97,7.21,True,2088
S1_spread_level,T3_z1.5,P1,10,0.5688,9.18,-28.43,0.4823,107,3.98,True,2088
S1_spread_level,T3_z1.5,P2,10,0.633,7.8,-23.25,0.5278,5710,4.3,True,2088
S1_spread_level,T3_z1.5,P3,10,0.1891,3.61,-48.21,0.5216,107,7.95,True,2088
S1_spread_level,T3_z2.0,P1,10,0.5199,8.68,-31.28,0.5019,73,2.71,True,2088
S1_spread_level,T3_z2.0,P2,10,0.633,7.8,-23.25,0.5278,5710,4.3,True,2088
S1_spread_level,T3_z2.0,P3,10,0.136,2.6,-50.25,0.5196,73,5.42,True,2088
S1_spread_level,T3_z2.5,P1,10,0.6077,10.53,-28.45,0.511,49,1.82,True,2088
S1_spread_level,T3_z2.5,P2,10,0.633,7.8,-23.25,0.5278,5710,4.3,True,2088
S1_spread_level,T3_z2.5,P3,10,0.3301,6.31,-39.08,0.523,49,3.64,True,2088
S1_spread_level,T1_p75,P1,21,0.7353,13.74,-33.72,0.5211,69,2.56,True,2088
S1_spread_level,T1_p75,P2,21,0.5399,7.23,-23.84,0.5268,5701,4.3,True,2088
S1_spread_level,T1_p75,P3,21,0.666,12.72,-33.72,0.5302,69,5.13,True,2088
S1_spread_level,T1_p85,P1,21,0.7564,14.42,-33.72,0.5326,37,1.37,True,2088
S1_spread_level,T1_p85,P2,21,0.5399,7.23,-23.84,0.5268,5701,4.3,True,2088
S1_spread_level,T1_p85,P3,21,0.7375,14.08,-33.72,0.5335,37,2.75,True,2088
S1_spread_level,T1_p95,P1,21,0.7726,14.75,-33.72,0.534,17,0.63,False,2088
S1_spread_level,T1_p95,P2,21,0.5399,7.23,-23.84,0.5268,5701,4.3,True,2088
S1_spread_level,T1_p95,P3,21,0.7726,14.75,-33.72,0.534,17,1.26,False,2088
S1_spread_level,T2_rp75,P1,21,0.3157,4.98,-37.0,0.3827,121,4.5,True,2088
S1_spread_level,T2_rp75,P2,21,0.5399,7.23,-23.84,0.5268,5701,4.3,True,2088
S1_spread_level,T2_rp75,P3,21,-0.2506,-4.79,-66.88,0.5005,121,8.99,False,2088
S1_spread_level,T2_rp85,P1,21,0.3326,5.69,-35.0,0.444,125,4.64,True,2088
S1_spread_level,T2_rp85,P2,21,0.5399,7.23,-23.84,0.5268,5701,4.3,True,2088
S1_spread_level,T2_rp85,P3,21,-0.1763,-3.37,-65.81,0.5081,125,9.29,False,2088
S1_spread_level,T2_rp95,P1,21,0.5336,9.65,-33.72,0.4981,97,3.6,True,2088
S1_spread_level,T2_rp95,P2,21,0.5399,7.23,-23.84,0.5268,5701,4.3,True,2088
S1_spread_level,T2_rp95,P3,21,0.2385,4.56,-50.12,0.5211,97,7.21,True,2088
S1_spread_level,T3_z1.5,P1,21,0.4812,8.43,-33.72,0.4808,107,3.98,True,2088
S1_spread_level,T3_z1.5,P2,21,0.5399,7.23,-23.84,0.5268,5701,4.3,True,2088
