period_name,start_date,end_date,is_oos,ann_return,ann_vol,sharpe,n_obs,max_drawdown
Dot-Com Crash,2000-03-01,2002-10-31,False,-0.0324,0.055,-0.5893,697,-0.1328
GFC,2007-12-01,2009-06-30,False,-0.002,0.0369,-0.054,412,-0.0378
COVID,2020-02-01,2020-12-31,True,0.0063,0.0416,0.1505,239,-0.0442
2022 Rates Shock,2022-01-01,2022-12-31,True,-0.0352,0.0288,-1.2232,260,-0.0416
Full OOS,2018-01-01,2025-12-31,True,0.1133,0.0889,1.274,2088,-0.102
