lag,f_statistic,p_value,df_num,df_den
1,1.065,0.302885,1,307
2,1.5122,0.222075,2,304
3,0.4757,0.699453,3,301
4,4.5337,0.001436,4,298
5,4.0694,0.001377,5,295
6,3.5218,0.002219,6,292
7,3.3736,0.001778,7,289
8,3.103,0.002246,8,286
9,2.9014,0.002674,9,283
10,2.8085,0.002473,10,280
11,2.5691,0.00408,11,277
12,2.3867,0.006054,12,274
