lag,ccf,upper_ci,lower_ci,significant
-6,-0.05622238857458464,0.09963239928396839,-0.09963239928396839,False
-5,0.015565449481585406,0.09950392418309467,-0.09950392418309467,False
-4,0.19086919031297508,0.09937594480642518,-0.09937594480642518,True
-3,0.2518961028797581,0.09924845797419933,-0.09924845797419933,True
-2,0.25125026597282024,0.09924845797419933,-0.09924845797419933,True
-1,0.23604558677248763,0.09924845797419933,-0.09924845797419933,True
0,0.10938970257272074,0.09924845797419933,-0.09924845797419933,True
1,0.040606318682038005,0.09937594480642518,-0.09937594480642518,False
2,0.059426159794547906,0.09950392418309467,-0.09950392418309467,False
3,0.027283030482925526,0.09963239928396839,-0.09963239928396839,False
4,0.0011537514312131827,0.09976137331762037,-0.09976137331762037,False
5,0.01343012097054298,0.09989084952177461,-0.09989084952177461,False
6,0.0019398502334728237,0.10002083116364645,-0.10002083116364645,False
