strategy_family,signal,threshold_rule,threshold_value,direction,is_sharpe,is_ann_return,oos_sharpe,oos_ann_return,oos_max_drawdown,oos_ann_vol,oos_n_trades,oos_win_rate,annual_turnover,valid
wti_momentum_4w_long,wti_logret_4w,gt_zero,0.0,long_only_when_positive_momentum,0.0544,0.0098,0.1495,0.0283,-0.3695,0.1892,97,0.2768,8.9143,True
wti_momentum_13w_long,wti_logret_13w,gt_zero,0.0,long_only_when_positive_momentum,0.2999,0.052,-0.2416,-0.0438,-0.5705,0.1815,67,0.2571,6.1286,True
wti_momentum_26w_long,wti_logret_26w,gt_zero,0.0,long_only_when_positive_momentum,0.2181,0.0413,0.0917,0.0171,-0.4493,0.187,39,0.2464,3.5286,True
wti_z_52w_long_top,wti_z_52w,gt,0.5,long_when_above_mean_z_5,0.1116,0.018,0.2017,0.0326,-0.2921,0.1616,31,0.1839,2.7857,True
wti_z_52w_long_bottom,wti_z_52w,lt,-0.5,long_when_below_mean_z_5,-0.0063,-0.001,-0.1762,-0.0376,-0.6743,0.2135,45,0.2161,4.0857,True
wti_z_104w_long_top,wti_z_104w,gt,0.5,long_when_above_mean_z_5,0.2771,0.0419,0.2357,0.0371,-0.2501,0.1572,23,0.1643,2.0429,True
wti_z_104w_long_bottom,wti_z_104w,lt,-0.5,long_when_below_mean_z_5,0.2381,0.0295,-0.1283,-0.0282,-0.6733,0.2194,35,0.2232,3.1571,True
wti_low_vol_long,wti_vol_q_13w,lt,0.5,long_when_low_vol_regime,-0.0585,-0.0092,-0.1207,-0.0196,-0.4698,0.1623,30,0.2125,2.6929,True
wti_high_vol_long,wti_vol_q_13w,gt,0.75,long_when_high_vol_regime,0.1364,0.0207,0.4701,0.0877,-0.2626,0.1866,41,0.1821,3.7143,True
wti_momentum_4w_long_short,wti_logret_4w,gt_zero,0.0,long_short_sign,-0.2063,-0.0531,0.1532,0.045,-0.5137,0.2937,97,0.4839,17.8286,True
wti_momentum_13w_long_short,wti_logret_13w,gt_zero,0.0,long_short_sign,0.1221,0.0314,-0.3381,-0.0993,-0.8247,0.2936,67,0.4607,12.2571,True
wti_z_52w_long_short,wti_z_52w,gt_zero,0.0,long_short_sign,0.0036,0.0009,0.2674,0.0785,-0.497,0.2935,31,0.4839,5.5714,True
BENCHMARK,BENCHMARK,,,long_buy_and_hold,,,0.0394,0.0116,-0.7414,0.2937,1,0.5304,0.0,True
