lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-20,-0.0023,-0.1018,0.1018,False,AR(11),351
-19,-0.0044,-0.1018,0.1018,False,AR(11),352
-18,0.0025,-0.1018,0.1018,False,AR(11),353
-17,-0.0144,-0.1018,0.1018,False,AR(11),354
-16,0.0168,-0.1018,0.1018,False,AR(11),355
-15,0.0613,-0.1018,0.1018,False,AR(11),356
-14,-0.0446,-0.1018,0.1018,False,AR(11),357
-13,-0.0061,-0.1018,0.1018,False,AR(11),358
-12,-0.022,-0.1018,0.1018,False,AR(11),359
-11,0.0378,-0.1018,0.1018,False,AR(11),360
-10,-0.0185,-0.1018,0.1018,False,AR(11),361
-9,0.0237,-0.1018,0.1018,False,AR(11),362
-8,-0.0524,-0.1018,0.1018,False,AR(11),363
-7,-0.0098,-0.1018,0.1018,False,AR(11),364
-6,0.0262,-0.1018,0.1018,False,AR(11),365
-5,0.0316,-0.1018,0.1018,False,AR(11),366
-4,-0.038,-0.1018,0.1018,False,AR(11),367
-3,-0.0157,-0.1018,0.1018,False,AR(11),368
-2,0.0178,-0.1018,0.1018,False,AR(11),369
-1,0.0167,-0.1018,0.1018,False,AR(11),370
0,0.0086,-0.1018,0.1018,False,AR(11),371
1,0.01,-0.1018,0.1018,False,AR(11),370
2,-0.0094,-0.1018,0.1018,False,AR(11),369
3,-0.0059,-0.1018,0.1018,False,AR(11),368
4,0.0218,-0.1018,0.1018,False,AR(11),367
5,0.0565,-0.1018,0.1018,False,AR(11),366
6,-0.1204,-0.1018,0.1018,True,AR(11),365
7,0.0383,-0.1018,0.1018,False,AR(11),364
8,-0.0244,-0.1018,0.1018,False,AR(11),363
9,0.0491,-0.1018,0.1018,False,AR(11),362
10,-0.0564,-0.1018,0.1018,False,AR(11),361
11,0.0361,-0.1018,0.1018,False,AR(11),360
12,0.0087,-0.1018,0.1018,False,AR(11),359
13,-0.0032,-0.1018,0.1018,False,AR(11),358
14,-0.0396,-0.1018,0.1018,False,AR(11),357
15,0.0565,-0.1018,0.1018,False,AR(11),356
16,-0.0235,-0.1018,0.1018,False,AR(11),355
17,-0.0266,-0.1018,0.1018,False,AR(11),354
18,0.0252,-0.1018,0.1018,False,AR(11),353
19,0.0343,-0.1018,0.1018,False,AR(11),352
20,0.0285,-0.1018,0.1018,False,AR(11),351
