tau,coef,se,p_value,ci_lower,ci_upper
0.05,0.018681,0.012192,0.1263,-0.005292,0.042654
0.1,0.005506,0.010307,0.5935,-0.014761,0.025773
0.25,0.004905,0.004807,0.3082,-0.004547,0.014358
0.5,0.003092,0.003618,0.3933,-0.004022,0.010206
0.75,0.002996,0.00319,0.3483,-0.003278,0.009269
0.9,0.012686,0.004469,0.0048,0.003899,0.021472
0.95,0.014188,0.006025,0.019,0.002342,0.026034
