horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,0.002533,0.001931,-0.001252,0.006318,0.1897,fwd
3,0.007372,0.005806,-0.004007,0.01875,0.2042,fwd
6,0.012309,0.011698,-0.010619,0.035237,0.2927,fwd
12,0.023348,0.0226,-0.020948,0.067644,0.3016,fwd
1,1.354868,1.108994,-0.81872,3.528456,0.2218,rev
3,0.073949,1.105743,-2.093267,2.241165,0.9467,rev
6,-1.086074,1.442072,-3.912482,1.740335,0.4514,rev
12,-2.236301,1.642676,-5.455887,0.983284,0.1734,rev
