signal,horizon,coef,se,t_stat,p_value,r_squared,n
petrol_yoy,spy_fwd_1m,0.000516,0.000508,1.016,0.3095,0.0033,392
petrol_yoy,spy_fwd_3m,0.001561,0.000728,2.145,0.032,0.0102,390
petrol_yoy,spy_fwd_6m,0.002809,0.001114,2.521,0.0117,0.0155,387
petrol_yoy,spy_fwd_12m,0.005556,0.001695,3.278,0.001,0.0255,381
petrol_pct_chg,spy_fwd_1m,0.000236,0.002296,0.103,0.9181,0.0,392
petrol_pct_chg,spy_fwd_3m,-0.003619,0.004122,-0.878,0.38,0.0025,390
petrol_pct_chg,spy_fwd_6m,0.006132,0.005286,1.16,0.2461,0.0034,387
petrol_pct_chg,spy_fwd_12m,0.012761,0.008822,1.446,0.1481,0.0061,381
petrol_3m,spy_fwd_1m,-0.000647,0.000968,-0.668,0.5042,0.0013,392
petrol_3m,spy_fwd_3m,-0.0003,0.00155,-0.194,0.8463,0.0001,390
petrol_3m,spy_fwd_6m,0.004277,0.002066,2.07,0.0385,0.0093,387
petrol_3m,spy_fwd_12m,0.006666,0.003614,1.844,0.0651,0.0095,381
petrol_6m,spy_fwd_1m,0.000533,0.000636,0.838,0.4022,0.0021,392
petrol_6m,spy_fwd_3m,0.00189,0.000966,1.955,0.0505,0.0089,390
petrol_6m,spy_fwd_6m,0.004343,0.001396,3.111,0.0019,0.0219,387
petrol_6m,spy_fwd_12m,0.005265,0.002338,2.252,0.0243,0.0134,381
petrol_dev_trend,spy_fwd_1m,0.000571,0.00091,0.628,0.5299,0.0013,392
petrol_dev_trend,spy_fwd_3m,0.002278,0.001327,1.717,0.086,0.0068,390
petrol_dev_trend,spy_fwd_6m,0.006297,0.001864,3.378,0.0007,0.0242,387
petrol_dev_trend,spy_fwd_12m,0.008979,0.002964,3.029,0.0025,0.0206,381
petrol_level_z60,spy_fwd_1m,0.00066,0.001642,0.402,0.6876,0.0004,392
petrol_level_z60,spy_fwd_3m,0.002376,0.002438,0.974,0.3299,0.0019,390
petrol_level_z60,spy_fwd_6m,0.005401,0.003616,1.494,0.1352,0.0046,387
petrol_level_z60,spy_fwd_12m,-0.00016,0.005577,-0.029,0.9771,0.0,381
petrol_yoy_z60,spy_fwd_1m,0.002533,0.001983,1.277,0.2016,0.0044,381
petrol_yoy_z60,spy_fwd_3m,0.007372,0.003328,2.215,0.0267,0.0128,379
petrol_yoy_z60,spy_fwd_6m,0.012309,0.005083,2.422,0.0155,0.0167,376
petrol_yoy_z60,spy_fwd_12m,0.023348,0.007788,2.998,0.0027,0.0252,370
petrol_accel,spy_fwd_1m,0.001338,0.002616,0.512,0.6089,0.0009,392
petrol_accel,spy_fwd_3m,-0.001287,0.004406,-0.292,0.7702,0.0003,390
petrol_accel,spy_fwd_6m,-0.002204,0.005807,-0.379,0.7043,0.0004,387
petrol_accel,spy_fwd_12m,0.00045,0.010021,0.045,0.9642,0.0,381
hmm_stress,spy_fwd_1m,0.008442,0.00515,1.639,0.1011,0.0077,381
hmm_stress,spy_fwd_3m,0.028887,0.008825,3.273,0.0011,0.0305,379
hmm_stress,spy_fwd_6m,0.055817,0.01368,4.08,0.0,0.0532,376
hmm_stress,spy_fwd_12m,0.114375,0.021209,5.393,0.0,0.0934,370
markov_regime,spy_fwd_1m,0.010086,0.005281,1.91,0.0562,0.0104,381
markov_regime,spy_fwd_3m,0.032528,0.00903,3.602,0.0003,0.0369,379
markov_regime,spy_fwd_6m,0.059069,0.014065,4.2,0.0,0.0568,376
markov_regime,spy_fwd_12m,0.113312,0.02197,5.158,0.0,0.0874,370
