lag,ccf,upper_ci,lower_ci,significant
-12,-0.041673138268610105,0.09950392418309467,-0.09950392418309467,False
-11,-0.07083817723925094,0.09937594480642518,-0.09937594480642518,False
-10,-0.03354950257295201,0.09924845797419933,-0.09924845797419933,False
-9,-0.06027143309764454,0.09912146053513803,-0.09912146053513803,False
-8,-0.054214908746144874,0.09899494936611665,-0.09899494936611665,False
-7,-0.009901712687118092,0.09886892137184239,-0.09886892137184239,False
-6,-0.004924182262832291,0.09874337348453616,-0.09874337348453616,False
-5,-0.0027851885149216236,0.09861830266361901,-0.09861830266361901,False
-4,-0.10717640899389197,0.09849370589540278,-0.09849370589540278,True
-3,-0.2290547800027375,0.09836958019278513,-0.09836958019278513,True
-2,-0.17431022519076336,0.09824592259494876,-0.09824592259494876,True
-1,-0.06994676876723491,0.09824592259494876,-0.09824592259494876,False
0,0.04093398906167248,0.09824592259494876,-0.09824592259494876,False
1,0.016374037380489145,0.09836958019278513,-0.09836958019278513,False
2,0.041660571957037526,0.09849370589540278,-0.09849370589540278,False
3,0.02271716426183616,0.09861830266361901,-0.09861830266361901,False
4,-0.029001160737453093,0.09874337348453616,-0.09874337348453616,False
5,-0.011320026808253574,0.09886892137184239,-0.09886892137184239,False
6,0.02439229541323379,0.09899494936611665,-0.09899494936611665,False
7,0.04388915005124248,0.09912146053513803,-0.09912146053513803,False
8,-0.016464060293018973,0.09924845797419933,-0.09924845797419933,False
9,0.005444673063858922,0.09937594480642518,-0.09937594480642518,False
10,0.04203153254361016,0.09950392418309467,-0.09950392418309467,False
11,0.04442999948762501,0.09963239928396839,-0.09963239928396839,False
12,0.01606578844523716,0.09976137331762037,-0.09976137331762037,False
