test_start,test_end,train_n,test_n,accuracy,precision,recall
2011,2013,109,36,0.8056,0.8056,1.0
2012,2014,121,36,0.8611,0.8611,1.0
2013,2015,133,36,0.7222,0.8148,0.8148
2014,2016,145,36,0.5833,0.7037,0.7308
2015,2017,157,36,0.4444,0.5385,0.6364
2016,2018,169,36,0.5833,0.5833,1.0
2017,2019,181,36,0.6389,0.6389,1.0
2018,2020,193,36,0.6667,0.6857,0.96
2019,2021,205,36,0.75,0.7879,0.9286
2020,2022,217,36,0.5833,0.6176,0.913
2021,2023,229,36,0.5833,0.5833,1.0
2022,2024,241,36,0.6111,0.6111,1.0
