direction,lag,f_statistic,p_value,significant
INDPRO->XLP,1,0.0002,0.9891,False
INDPRO->XLP,2,1.127,0.3253,False
INDPRO->XLP,3,1.0175,0.3851,False
INDPRO->XLP,4,0.9829,0.417,False
INDPRO->XLP,5,0.956,0.4451,False
INDPRO->XLP,6,0.8013,0.5695,False
XLP->INDPRO,1,7.2868,0.0073,True
XLP->INDPRO,2,6.066,0.0026,True
XLP->INDPRO,3,4.7924,0.0028,True
XLP->INDPRO,4,3.4638,0.0087,True
XLP->INDPRO,5,3.1486,0.0087,True
XLP->INDPRO,6,2.7569,0.0127,True
