quantile,intercept,coef_indpro_yoy,se,p_value,ci_lower,ci_upper
0.05,-0.088062,0.006787,0.001509,0.0,0.003819,0.009755
0.1,-0.061053,0.004411,0.001358,0.0013,0.001739,0.007084
0.25,-0.015086,-0.001062,0.000885,0.2314,-0.002803,0.00068
0.5,0.023908,-0.0024,0.000899,0.008,-0.004169,-0.00063
0.75,0.057429,-0.001569,0.001263,0.2149,-0.004053,0.000915
0.9,0.090799,-0.00156,0.001665,0.3493,-0.004835,0.001715
0.95,0.101747,-0.00089,0.001622,0.5837,-0.004081,0.002302
