feature,importance
yield_spread_10y3m,0.182
caput,0.1137
unrate,0.1114
indpro_mom,0.0913
vix,0.0893
indpro_mom_3m,0.0875
indpro_accel,0.0862
indpro_zscore_60m,0.0862
indpro_mom_6m,0.0849
indpro_yoy,0.0676
