signal,horizon,coef,se,t_stat,p_value,r_squared,n
indpro_yoy,xlp_fwd_1m,0.0,0.000551,0.0,0.9998,0.0,323.0
indpro_yoy,xlp_fwd_3m,-0.000688,0.000952,-0.723,0.4699,0.0025,321.0
indpro_yoy,xlp_fwd_6m,-0.000941,0.001352,-0.696,0.4865,0.0025,318.0
indpro_yoy,xlp_fwd_12m,-0.000822,0.001819,-0.452,0.6512,0.001,312.0
indpro_mom,xlp_fwd_1m,0.002435,0.003466,0.703,0.4822,0.0058,323.0
indpro_mom,xlp_fwd_3m,0.001198,0.005902,0.203,0.8391,0.0005,321.0
indpro_mom,xlp_fwd_6m,0.001182,0.006224,0.19,0.8494,0.0003,318.0
indpro_mom,xlp_fwd_12m,0.0009,0.011158,0.081,0.9357,0.0001,312.0
indpro_zscore_60m,xlp_fwd_1m,-0.000825,0.001812,-0.455,0.6491,0.0008,288.0
indpro_zscore_60m,xlp_fwd_3m,-0.00478,0.003003,-1.592,0.1114,0.0103,286.0
indpro_zscore_60m,xlp_fwd_6m,-0.008531,0.003924,-2.174,0.0297,0.0167,283.0
indpro_zscore_60m,xlp_fwd_12m,-0.016352,0.004796,-3.41,0.0007,0.0351,277.0
