regime,n_months,mean_monthly_ret_pct,ann_return_pct,ann_vol_pct,sharpe,skewness,kurtosis,min_monthly_pct,max_monthly_pct
Q1_low,79,0.348,4.17,18.19,0.229,-0.16,0.294,-14.48,12.59
Q2,78,1.153,13.84,12.76,1.085,-0.311,-0.124,-7.72,9.06
Q3,78,0.643,7.72,13.8,0.559,-0.212,-0.113,-9.35,9.02
Q4_high,78,0.884,10.61,11.46,0.925,-0.305,0.313,-7.96,9.3
