lead_months,oos_sharpe,is_published_winner,lead_source
0,0.0071,False,pipeline
1,0.6825,False,pipeline
2,0.7227,False,pipeline
3,-0.286,False,pipeline
4,0.6236,False,pipeline
5,0.3701,False,pipeline
6,1.1586,True,pipeline
7,0.1975,False,pipeline
8,-0.0761,False,pipeline
9,0.3225,False,pipeline
10,0.1858,False,pipeline
11,0.3138,False,pipeline
12,0.411,False,pipeline
