date,signal_value,threshold,position,xlv_return,strat_ret,strategy_return,cum_return,cumulative_return,xlv
2019-04-30,-1.4985014985015033,3.8107755717543847,0.0,-0.027139189760811866,-0.027139189760811866,-0.027139189760811866,0.9728608102391881,-0.027139189760811866,79.15392303466797
2019-05-31,-1.1156186612576002,3.7446405371100933,0.0,-0.022182268816465345,-0.0,-0.0,0.9728608102391881,-0.027139189760811866,77.39810943603516
2019-06-30,0.8205128205128087,3.3537389314522157,0.0,0.06593988501413306,0.0,0.0,0.9728608102391881,-0.027139189760811866,82.5017318725586
2019-07-31,-7.222787385554419,3.404875641907034,0.0,-0.01619136228256335,-0.0,-0.0,0.9728608102391881,-0.027139189760811866,81.1659164428711
2019-08-31,2.8508771929824483,3.461946060985119,0.0,-0.005925227419940171,-0.0,-0.0,0.9728608102391881,-0.027139189760811866,80.68498992919922
2019-09-30,4.904051172707891,3.6175313335100965,1.0,-0.0010555486370770195,-0.0,-0.0,0.9728608102391881,-0.027139189760811866,80.59982299804688
2019-10-31,-1.2195121951219523,3.4576101462358215,0.0,0.05125894751987348,0.05125894751987348,0.05125894751987348,1.0227286314553803,0.022728631455380288,84.73128509521484
2019-11-30,2.8806584362139898,3.5432135059659697,0.0,0.050026657004534236,0.0,0.0,1.0227286314553803,0.022728631455380288,88.97010803222656
2019-12-31,-1.8000000000000016,3.5131306053636893,0.0,0.034752848906957956,0.0,0.0,1.0227286314553803,0.022728631455380288,92.06207275390625
2020-01-31,0.20366598778003286,3.526892486295648,0.0,-0.02670327411832174,-0.0,-0.0,1.0227286314553803,0.022728631455380288,89.60371398925781
2020-02-29,-8.739837398373995,3.576561940017064,0.0,-0.06586653302156287,-0.0,-0.0,1.0227286314553803,0.022728631455380288,83.70182800292969
2020-03-31,3.786191536748329,3.6155998439658097,1.0,-0.0388734228143629,-0.0,-0.0,1.0227286314553803,0.022728631455380288,80.44805145263672
2020-04-30,2.467811158798283,3.6084424183690396,0.0,0.12587468693356074,0.12587468693356074,0.12587468693356074,1.1514642777578152,0.15146427775781524,90.57442474365234
2020-05-31,1.3612565445026092,3.5882284547124286,0.0,0.03288869032261488,0.0,0.0,1.1514642777578152,0.15146427775781524,93.55329895019531
2020-06-30,2.5826446280991844,3.4868404678234954,0.0,-0.024425515840608925,-0.0,-0.0,1.1514642777578152,0.15146427775781524,91.2682113647461
2020-07-31,0.5035246727089548,3.35908743788383,0.0,0.054561814478947035,0.0,0.0,1.1514642777578152,0.15146427775781524,96.24797058105469
2020-08-31,1.2024048096192397,3.4067588109746882,0.0,0.02586930559710532,0.0,0.0,1.1514642777578152,0.15146427775781524,98.73783874511719
2020-09-30,-11.782178217821793,3.5833782709999213,0.0,-0.021804597610557974,-0.0,-0.0,1.1514642777578152,0.15146427775781524,96.58489990234375
2020-10-31,-19.41638608305275,3.972530705004885,0.0,-0.03621543091174617,-0.0,-0.0,1.1514642777578152,0.15146427775781524,93.0870361328125
2020-11-30,0.696378830083555,4.025864824733335,0.0,0.0794809223821058,0.0,0.0,1.1514642777578152,0.15146427775781524,100.48567962646484
2020-12-31,8.022130013831251,4.118971094535605,1.0,0.037978008875503066,0.0,0.0,1.1514642777578152,0.15146427775781524,104.30192565917969
2021-01-31,-7.170294494238149,4.1273325877954,0.0,0.014016102040938838,0.014016102040938838,0.014016102040938838,1.1676033185713648,0.1676033185713648,105.76383209228516
2021-02-28,2.2068965517241246,4.195504626941785,0.0,-0.021037927955762092,-0.0,-0.0,1.1676033185713648,0.1676033185713648,103.53878021240234
2021-03-31,8.502024291498,4.51663323085007,1.0,0.04027342056077532,0.0,0.0,1.1676033185713648,0.1676033185713648,107.7086410522461
2021-04-30,1.741293532338295,4.478322888589517,0.0,0.0393180505988735,0.0393180505988735,0.0393180505988735,1.2135112049303662,0.21351120493036624,111.94353485107422
2021-05-31,-5.990220048899742,4.414033585529422,0.0,0.01870941900594314,0.0,0.0,1.2135112049303662,0.21351120493036624,114.03793334960938
2021-06-30,4.941482444733425,4.515706893904761,1.0,0.022989486980152796,0.0,0.0,1.2135112049303662,0.21351120493036624,116.65960693359375
2021-07-31,-2.106567534076831,4.498044280744091,0.0,0.04922565243118604,0.04922565243118604,0.04922565243118604,1.2732470857256182,0.2732470857256182,122.40225219726562
2021-08-31,-2.784810126582282,4.469553494608631,0.0,0.023155783635349536,0.0,0.0,1.2732470857256182,0.2732470857256182,125.236572265625
