period_name,start_date,end_date,is_oos,ann_return,ann_vol,sharpe,n_obs,max_drawdown
Dot-Com Crash,2000-03-01,2002-10-31,False,0.014656,0.040711,0.360009,32,-0.028902
GFC,2007-12-01,2009-06-30,False,-0.095905,0.09951,-0.963769,19,-0.148358
COVID,2020-02-01,2020-12-31,True,0.137318,0.131472,1.044466,11,0.0
2022 Rates Shock,2022-01-01,2022-12-31,True,0.079671,0.054814,1.453479,12,0.0
Full OOS,2019-04-30,2025-12-31,True,0.079494,0.068615,1.158553,81,-0.007007
