signal,threshold,strategy,lead_months,is_sharpe,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,annual_turnover,is_n,oos_n,valid
S3_mom,T3_zscore_neg_1.0,P3_long_short,0,0.4612,0.0213,0.0406,0.007,0.003244,0.152162,-0.464592,0.4815,5.54,243,81,True
S3_mom,T3_zscore_1.5,P1_long_cash,0,0.6462,0.6674,1.5024,0.6614,0.096535,0.144635,-0.145961,0.4938,1.59,243,81,True
S3_mom,T3_zscore_1.5,P2_signal_strength,0,0.6355,0.7429,1.6033,0.6309,0.059506,0.080102,-0.094318,0.5185,2.83,207,81,True
S3_mom,T3_zscore_1.5,P3_long_short,0,0.452,0.5753,1.3938,0.5916,0.086347,0.150084,-0.145961,0.5432,3.18,243,81,True
S3_mom,T3_zscore_neg_1.5,P1_long_cash,0,0.7331,0.6727,1.4995,0.606,0.092382,0.137339,-0.152435,0.5062,1.37,243,81,True
S3_mom,T3_zscore_neg_1.5,P2_signal_strength,0,0.6355,0.7429,1.6033,0.6309,0.059506,0.080102,-0.094318,0.5185,2.83,207,81,True
S3_mom,T3_zscore_neg_1.5,P3_long_short,0,0.5962,0.5186,0.9824,0.2584,0.078039,0.150467,-0.302024,0.5556,2.73,243,81,True
S3_mom,T3_zscore_2.0,P1_long_cash,0,0.6755,0.715,1.6377,0.7201,0.105107,0.146995,-0.145961,0.5309,0.78,243,81,True
S3_mom,T3_zscore_2.0,P2_signal_strength,0,0.6355,0.7429,1.6033,0.6309,0.059506,0.080102,-0.094318,0.5185,2.83,207,81,True
S3_mom,T3_zscore_2.0,P3_long_short,0,0.5077,0.6938,1.6563,0.709,0.10349,0.149166,-0.145961,0.5556,1.55,243,81,True
S3_mom,T3_zscore_neg_2.0,P1_long_cash,0,0.7143,0.6232,1.4473,0.5491,0.086729,0.139161,-0.157936,0.5185,0.7,243,81,True
S3_mom,T3_zscore_neg_2.0,P2_signal_strength,0,0.6355,0.7429,1.6033,0.6309,0.059506,0.080102,-0.094318,0.5185,2.83,207,81,True
S3_mom,T3_zscore_neg_2.0,P3_long_short,0,0.591,0.4422,0.8519,0.2389,0.066735,0.150925,-0.279315,0.5432,1.4,243,81,True
S3_mom,T4_zero,P1_long_cash,0,0.3098,0.7791,1.4076,0.7482,0.079261,0.101737,-0.105934,0.284,6.28,243,81,True
S3_mom,T4_zero,P2_signal_strength,0,0.6355,0.7429,1.6033,0.6309,0.059506,0.080102,-0.094318,0.5185,2.83,207,81,True
S3_mom,T4_zero,P3_long_short,0,-0.1625,0.3421,0.6836,0.2378,0.051798,0.151419,-0.217823,0.5309,12.55,243,81,True
S3_mom,T1_fixed_p25,P1_long_cash,1,0.3565,0.1088,0.1521,0.0473,0.00986,0.090594,-0.208675,0.2099,4.69,243,81,True
S3_mom,T1_fixed_p25,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T1_fixed_p25,P3_long_short,1,-0.247,-0.5798,-0.9991,-0.1489,-0.087003,0.150052,-0.584228,0.4691,9.38,243,81,False
S3_mom,T1_fixed_p50,P1_long_cash,1,0.4305,0.5132,0.787,0.357,0.053629,0.104504,-0.150205,0.2716,6.24,243,81,True
S3_mom,T1_fixed_p50,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T1_fixed_p50,P3_long_short,1,-0.0313,0.0035,0.0061,0.0016,0.000534,0.152165,-0.333718,0.5185,12.48,243,81,True
S3_mom,T1_fixed_p75,P1_long_cash,1,0.3912,0.4823,0.9908,0.4073,0.064867,0.134506,-0.159273,0.3951,4.76,243,81,True
S3_mom,T1_fixed_p75,P2_signal_strength,1,0.6448,0.4776,0.8102,0.3679,0.034767,0.072787,-0.094505,0.4815,2.83,206,81,True
S3_mom,T1_fixed_p75,P3_long_short,1,0.0557,0.1514,0.3132,0.0971,0.023011,0.152018,-0.237027,0.4938,9.53,243,81,True
