date,signal_value,threshold_value,position,strategy_return,bh_return
1998-12-31,,,0.0,0.0,
1999-01-31,,,0.0,0.0,0.048077083628099704
1999-02-28,,,0.0,0.0,0.001146640667759824
1999-03-31,,,0.0,0.0,0.026345880077312644
1999-04-30,,,0.0,0.0,0.03571416185189258
1999-05-31,,,0.0,-0.0,-0.030711184078994425
1999-06-30,,,0.0,0.0,0.043913714970838624
1999-07-31,3.383084577114426,,0.0,-0.0,-0.029818794840174023
1999-08-31,4.042348411934538,,0.0,-0.0,-0.045006075665714795
1999-09-30,-2.2201665124884307,,0.0,-0.0,-0.013792794810562614
1999-10-31,-1.040681173131508,,0.0,0.0,0.05069892265801301
1999-11-30,2.103250478011476,,0.0,0.0,0.011647780210270353
1999-12-31,0.46816479400748623,,0.0,0.0,0.09022453312959011
2000-01-31,-1.2115563839701693,,0.0,-0.0,-0.02529082946375749
2000-02-29,-1.4150943396226467,,0.0,-0.0,-0.06538678587986058
2000-03-31,2.583732057416266,,0.0,0.0,0.08995042885743398
2000-04-30,-3.731343283582089,,0.0,-0.0,-0.011717254306855662
2000-05-31,3.875968992248069,,0.0,-0.0,-0.026803512413725916
2000-06-30,-1.6791044776119368,,0.0,0.0,0.0021184611438187506
2000-07-31,6.261859582542684,,0.0,-0.0,-0.01479970424027921
2000-08-31,-0.6249999999999978,,0.0,0.0,0.03540825295951899
2000-09-30,-3.7735849056603765,,0.0,-0.0,-0.036269367116068874
2000-10-31,1.9607843137255054,,0.0,0.0,0.015053931742703863
2000-11-30,1.3736263736263687,,0.0,-0.0,-0.09110220330931951
2000-12-31,-3.8843721770551065,,0.0,0.0,0.01650126325485668
2001-01-31,1.7857142857142794,,0.0,0.0,0.07229316453728596
2001-02-28,-0.9233610341643606,,0.0,-0.0,-0.01916483554065951
2001-03-31,-0.4659832246039164,,0.0,-0.0,-0.06403051369272739
2001-04-30,-0.9363295880149836,,0.0,0.0,0.07382579883906248
2001-05-31,1.7013232514177634,,0.0,0.0,0.03819420352475156
2001-06-30,-8.550185873605942,,0.0,-0.0,-0.011296646596101634
2001-07-31,-3.760162601626016,,0.0,-0.0,-0.019966034994114645
2001-08-31,-4.329461457233375,,0.0,-0.0,-0.05075961404125484
2001-09-30,0.9933774834437248,,0.0,-0.0,-0.1447925521396054
2001-10-31,-3.3879781420764976,,0.0,0.0,0.005106668466504649
2001-11-30,4.072398190045234,,0.0,0.0,0.11600356569764281
2001-12-31,0.6521739130434634,,0.0,0.0,0.02419426856100748
2002-01-31,-0.21598272138227959,,0.0,-0.0,-0.0074210912238608095
2002-02-28,-0.9740259740259827,,0.0,0.0,0.045981315493327735
2002-03-31,-10.601092896174869,,0.0,0.0,0.058013656736012775
2002-04-30,1.1002444987775029,,0.0,-0.0,-0.006083172522514002
2002-05-31,1.45102781136639,,0.0,0.0,0.013940257359485564
2002-06-30,5.84028605482716,3.2917839712034964,1.0,-0.0,-0.07153013915049045
2002-07-31,4.729729729729737,3.472240711578028,1.0,-0.02890198342255479,-0.02890198342255479
2002-08-31,-2.473118279569886,3.3816952432799328,0.0,0.009672752333882206,0.009672752333882206
2002-09-30,5.512679162072764,3.5973175573851046,1.0,-0.0,-0.06194282428564757
2002-10-31,-2.8213166144200663,3.507408572478854,0.0,0.058313853895044954,0.058313853895044954
2002-11-30,4.193548387096779,3.6299825122767038,1.0,0.0,0.030900629596495532
2002-12-31,-4.643962848297212,3.5449220020574996,0.0,-0.03758126529612815,-0.03758126529612815
2003-01-31,-4.653679653679665,3.460563623482371,0.0,-0.0,-0.0033899266547759987
2003-02-28,-0.5675368898978461,3.4101518227937433,0.0,-0.0,-0.022297805443563634
2003-03-31,-1.7123287671232834,3.342384544745829,0.0,0.0,0.03564750717154608
2003-04-30,-6.387921022067367,3.280712025359955,0.0,0.0,0.03293388524660479
2003-05-31,4.466501240694809,3.4128051175411573,1.0,0.0,0.020652140804743535
2003-06-30,2.9691211401425166,3.4715308176981146,0.0,0.04416481265117511,0.04416481265117511
2003-07-31,-4.959630911188007,3.3977592612513092,0.0,-0.0,-0.015001707240299367
2003-08-31,-3.033980582524276,3.3251570233290586,0.0,-0.0,-0.037036922404637074
2003-09-30,-2.8785982478097716,3.2555006035047076,0.0,0.0,0.0026026302314505756
2003-10-31,10.824742268041243,3.755257116826821,1.0,0.0,0.006832202063034698
2003-11-30,7.093023255813957,3.980982136416877,1.0,0.021428444209976805,0.021428444209976805
2003-12-31,-2.6058631921824005,3.910351847463859,0.0,0.057867997953933825,0.057867997953933825
2004-01-31,1.3377926421404673,3.904344773964066,0.0,0.0,0.02752909867766773
2004-02-29,-1.7601760176017667,3.8443250708749153,0.0,0.0,0.010652185699671746
2004-03-31,-1.7917133258678497,3.785671228290614,0.0,-0.0,-0.04169021667903061
2004-04-30,2.1664766248574496,3.8029636491728844,0.0,0.0,0.031073093457546053
2004-05-31,4.57589285714286,3.8963805922591903,1.0,-0.0,-0.003240667410028153
2004-06-30,-1.1739594450373647,3.8467302056842887,0.0,-0.003734593899827221,-0.003734593899827221
2004-07-31,12.095032397408211,4.273755688669045,1.0,-0.0,-0.05366489165769883
2004-08-31,-9.055876685934482,4.184946863679776,0.0,0.016251488780762102,0.016251488780762102
2004-09-30,1.483050847457612,4.242812448590333,0.0,-0.0,-0.01748542262820063
2004-10-31,-1.6701461377870541,4.23547885049697,0.0,-0.0,-0.022229950020844935
2004-11-30,-4.24628450106157,4.1529050550993185,0.0,0.0,0.0195383538511138
2004-12-31,5.986696230598665,4.316889770253226,1.0,0.0,0.05514389947304421
2005-01-31,1.1506276150627714,4.356683540595785,0.0,-0.031136102676124544,-0.031136102676124544
2005-02-28,-0.8273009307135482,4.364067749187479,0.0,0.0,0.030085269328812503
2005-03-31,-1.7726798748696537,4.283259778046265,0.0,-0.0,-0.005580364769084523
2005-04-30,-2.6539278131634814,4.288420374513487,0.0,0.0,0.03482952174285492
2005-05-31,1.1995637949836269,4.216220266850099,0.0,0.0,0.012620840043594983
2005-06-30,4.63362068965516,4.359803669899285,1.0,-0.0,-0.005287371537042285
2005-07-31,-1.6477857878475777,4.153804389211738,0.0,0.022558912230298267,0.022558912230298267
2005-08-31,-1.465968586387445,4.142636041732913,0.0,-0.0,-0.0034666770503658517
2005-09-30,-1.5940488841657774,4.157458326538696,0.0,-0.0,-0.005541395543577021
2005-10-31,-5.291576673866083,4.077858553841667,0.0,-0.0,-0.030622134736907114
2005-11-30,-0.9122006841505104,4.0351104715688875,0.0,0.0,0.012174926239275852
2005-12-31,10.471806674338314,4.465296753654018,1.0,0.0,0.03460047848010839
2006-01-31,0.5208333333333259,4.4383758969885605,0.0,0.012925651464796184,0.012925651464796184
2006-02-28,-7.66839378238342,4.429438311677447,0.0,0.0,0.011515640106026792
2006-03-31,-13.69248035914702,4.525442134041576,0.0,-0.0,-0.012774718791066397
2006-04-30,-3.5110533159948054,4.498172908980721,0.0,-0.0,-0.03095629467522465
2006-05-31,9.97304582210241,4.809075262630397,1.0,-0.0,-0.02097499096465416
2006-06-30,12.132352941176471,5.285036088245696,1.0,0.00034983537080446325,0.00034983537080446325
2006-07-31,-0.3278688524590123,5.319150015455582,0.0,0.05456315422104252,0.05456315422104252
2006-08-31,-4.934210526315786,5.318241396152614,0.0,0.0,0.0285355115349597
2006-09-30,2.5374855824682907,5.352387787348205,0.0,0.0,0.015346184227737591
2006-10-31,-1.687289088863897,5.366261831982517,0.0,0.0,0.003314142407258913
2006-11-30,-9.496567505720833,5.257718837764538,0.0,-0.0,-0.0012010593488454013
2006-12-31,7.332490518331247,5.453750057460617,1.0,0.0,0.010453232569282545
2007-01-31,-0.2355712603062443,5.4534373874702915,0.0,0.03045636984144129,0.03045636984144129
2007-02-28,-3.1877213695395534,5.430721266402772,0.0,-0.0,-0.02318191598939201
2007-03-31,4.146341463414638,5.522819559961095,0.0,0.0,0.0019522583235827007
2007-04-30,9.601873536299754,5.800294135301749,1.0,0.0,0.07310542483904281
2007-05-31,-1.602564102564108,5.753215128867959,0.0,0.01717001891899117,0.01717001891899117
2007-06-30,-0.43431053203039083,5.600548679397,0.0,-0.0,-0.033477313201383474
2007-07-31,5.670665212649939,5.630954443079948,1.0,-0.0,-0.047578631827211004
2007-08-31,-5.779153766769873,5.620238020025402,0.0,0.02289631712837048,0.02289631712837048
2007-09-30,-3.176341730558585,5.446121704508649,0.0,0.0,0.031199287961104938
2007-10-31,-1.4705882352941346,5.45948928247851,0.0,0.0,0.01867009196606295
2007-11-30,1.3777267508610747,5.388093133974015,0.0,0.0,0.012774383150568891
2007-12-31,-3.3975084937712396,5.393125805755352,0.0,-0.0,-0.028276146288588877
2008-01-31,5.978898007034017,5.589242595768962,1.0,-0.0,-0.04559621699837646
2008-02-29,-7.743362831858402,5.565148761877408,0.0,-0.026706435938502082,-0.026706435938502082
2008-03-31,0.0,5.5887453862601,0.0,-0.0,-0.04544102722290477
2008-04-30,-2.9976019184652314,5.594659656005251,0.0,0.0,0.00994560029890823
2008-05-31,-5.933250927070466,5.447088028988362,0.0,0.0,0.019059374235843363
2008-06-30,-0.7884362680683266,5.371122068783942,0.0,-0.0,-0.04230933973391904
2008-07-31,3.841059602649022,5.502816223521109,0.0,0.0,0.04480038016575838
2008-08-31,-9.693877551020414,5.5223909781856,0.0,0.0,0.020657026313207094
2008-09-30,-1.8361581920903869,5.532414685000072,0.0,-0.0,-0.07431041959268114
2008-10-31,-9.928057553956837,5.145072569751191,0.0,-0.0,-0.1148086416161167
2008-11-30,-4.472843450479235,4.888601843237831,0.0,-0.0,-0.06315783724463597
2008-12-31,-5.685618729096986,4.871102747131046,0.0,0.0,0.07190047162356894
2009-01-31,8.510638297872353,5.110763251836907,1.0,-0.0,-0.012052813736349921
2009-02-28,2.941176470588225,5.204060532145881,0.0,-0.12390417030448131,-0.12390417030448131
2009-03-31,11.58730158730159,5.63320025620334,1.0,0.0,0.06005797083235187
2009-04-30,-18.065433854907532,5.7256597612154305,0.0,-0.0012388134447302024,-0.0012388134447302024
2009-05-31,-3.993055555555558,5.561911507928688,0.0,0.0,0.06823822181523731
2009-06-30,8.679927667269439,5.841504122487541,1.0,0.0,0.023702054670841077
2009-07-31,1.830282861896837,5.459945945812737,0.0,0.05929271614140719,0.05929271614140719
2009-08-31,-8.006535947712424,5.454678940224328,0.0,0.0,0.02691028897249348
2009-09-30,1.7761989342806483,5.461428374811444,0.0,0.0,0.006151970757357406
2009-10-31,13.612565445026181,5.985419200508874,1.0,-0.0,-0.02092769176330822
2009-11-30,5.529953917050712,6.17347202434224,0.0,0.09298213546175194,0.09298213546175194
2009-12-31,3.056768558951961,6.087456925957318,0.0,0.0,0.01830518567212014
2010-01-31,-6.779661016949145,6.006689275618404,0.0,0.0,0.006759048015683611
2010-02-28,-0.4545454545454519,6.012690912379792,0.0,0.0,0.0038358063099426243
2010-03-31,11.87214611872145,6.429884062151551,1.0,0.0,0.026674309715385425
2010-04-30,-3.9455782312925236,6.418570487917557,0.0,-0.03890460053053224,-0.03890460053053224
2010-05-31,-4.5325779036827,6.343526030663153,0.0,-0.0,-0.0650903992351749
2010-06-30,7.566765578635004,6.4399562813558076,1.0,-0.0,-0.01824305708029672
2010-07-31,2.6206896551724146,6.518804914265647,0.0,0.013120606163055548,0.013120606163055548
2010-08-31,-1.0752688172043112,6.524249559999499,0.0,-0.0,-0.0164505531715613
2010-09-30,0.0,6.548303060621492,0.0,0.0,0.09063295925733406
2010-10-31,-1.90217391304347,6.575046229875643,0.0,0.0,0.022302398594992834
2010-11-30,1.9390581717451338,6.626854619475012,0.0,-0.0,-0.028873586659197592
2010-12-31,3.260869565217406,6.377729809837818,0.0,0.0,0.04603186907157664
2011-01-31,-10.789473684210527,6.33000732813345,0.0,0.0,0.005714421470384368
2011-02-28,1.6224188790560534,6.420174652685469,0.0,0.0,0.031249916891639362
2011-03-31,-1.0159651669085723,6.392145768616163,0.0,0.0,0.01808589771760971
2011-04-30,-0.7331378299120228,6.422603834838915,0.0,0.0,0.06433024195092507
2011-05-31,5.760709010339715,6.263817481901699,0.0,0.0,0.02468846128135027
2011-06-30,4.050279329608952,5.948235275025957,0.0,-0.0,-0.011240591084842988
2011-07-31,-0.402684563758382,5.947031554800515,0.0,-0.0,-0.039684412760562005
2011-08-31,4.447439353099725,6.099127479761647,0.0,-0.0,-0.021101966229487013
2011-09-30,-12.903225806451612,6.054813751799897,0.0,-0.0,-0.044880313211683176
2011-10-31,3.4074074074073923,6.154430853463259,0.0,0.0,0.05767425146567362
2011-11-30,6.4469914040114595,6.356480759247471,1.0,0.0,0.009535367456784627
2011-12-31,-3.7685060565275874,6.117691423383883,0.0,0.029649946689737083,0.029649946689737083
2012-01-31,-10.909090909090901,6.094863422987927,0.0,0.0,0.03199769704768718
2012-02-29,-12.401883830455262,6.12143403871587,0.0,0.0,0.010614705184605278
2012-03-31,6.630824372759858,6.1999990573842885,1.0,0.0,0.04477099017644948
2012-04-30,2.184873949579824,5.954211863104396,0.0,-0.00265894393627375,-0.00265894393627375
2012-05-31,4.7697368421052655,6.0943850207213615,0.0,-0.0,-0.03625736297054627
2012-06-30,9.733124018838302,6.3942754434918045,1.0,0.0,0.05712026610682441
2012-07-31,7.296137339055786,6.449172950210403,1.0,0.009996285473851119,0.009996285473851119
2012-08-31,0.40000000000000036,6.512104292626303,0.0,0.01172289826938,0.01172289826938
2012-09-30,1.195219123505975,6.574582775424059,0.0,0.0,0.03808868931457732
2012-10-31,0.2624671916010568,6.600840987550113,0.0,-0.0,-0.002242837134446174
2012-11-30,3.795811518324599,6.657057135571986,0.0,0.0,0.005245886638700625
2012-12-31,-7.692307692307687,6.646260523243944,0.0,-0.0,-0.003593998436151935
2013-01-31,-1.2295081967213184,6.480853285923908,0.0,0.0,0.07597816359320375
2013-02-28,2.7662517289073207,6.590546652647058,0.0,0.0,0.01258417650700272
2013-03-31,5.383580080753703,6.716617359388945,0.0,0.0,0.06211450518466477
2013-04-30,5.4916985951468655,6.881214673918191,0.0,0.0,0.030032116019196753
2013-05-31,0.1210653753026758,6.932184749898277,0.0,0.0,0.016480117858637344
2013-06-30,-11.85006045949214,6.932925110912092,0.0,-0.0,-0.0059121646562760866
2013-07-31,1.2345679012345512,6.8738650024591035,0.0,0.0,0.07162308872014167
2013-08-31,5.1490514905149,7.0264163413082885,0.0,-0.0,-0.035280073677410706
2013-09-30,1.2886597938144284,7.073112472241979,0.0,0.0,0.03207432287013812
2013-10-31,-2.7989821882951516,7.066162593236148,0.0,0.0,0.04309085170415905
2013-11-30,10.60209424083769,7.410499595313734,1.0,0.0,0.04718625321883785
2013-12-31,-0.4733727810650956,7.4447740845816535,0.0,0.007388752403132859,0.007388752403132859
2014-01-31,1.189060642092743,7.246141423385392,0.0,0.0,0.009380014435332651
2014-02-28,-3.525264394829608,7.155270471217654,0.0,0.0,0.062187020527751935
2014-03-31,-5.60292326431181,6.756625613725068,0.0,-0.0,-0.01257816515484833
2014-04-30,-5.548387096774188,6.543481270728419,0.0,-0.0,-0.006325778089426248
2014-05-31,2.595628415300544,6.62832785721326,0.0,0.0,0.028733843060814834
2014-06-30,9.853528628495356,6.676511301351547,1.0,0.0,0.021215274411523266
2014-07-31,-1.5757575757575748,6.625070547587797,0.0,0.0013149590615872953,0.0013149590615872953
2014-08-31,0.49261083743841194,6.657776760908863,0.0,0.0,0.04843221138900278
2014-09-30,-1.9607843137254832,6.604693860342,0.0,0.0,0.004350002758687355
2014-10-31,5.125000000000002,6.245949796089982,0.0,0.0,0.052573596680578705
2014-11-30,-2.6159334126040323,6.087273536900186,0.0,0.0,0.03478521031872828
2014-12-31,0.73260073260073,6.038308298613797,0.0,-0.0,-0.014033632554290354
2015-01-31,-0.848484848484854,6.0601993559217755,0.0,0.0,0.013015446660062269
2015-02-28,0.8557457212714059,6.080746332414914,0.0,0.0,0.04287590557985088
2015-03-31,2.5454545454545396,5.729398091001405,0.0,0.0,0.006405928110294168
2015-04-30,2.7186761229314627,5.818308889779308,0.0,-0.0,-0.010896188216799274
2015-05-31,2.1864211737629313,5.893432495584265,0.0,0.0,0.04504242725029006
2015-06-30,5.405405405405395,5.81639019174794,0.0,-0.0,-0.003919944335809222
2015-07-31,4.807692307692313,5.8748925854490075,0.0,0.0,0.029573954248482748
2015-08-31,-2.752293577981635,5.860411908254944,0.0,-0.0,-0.0796446190458564
2015-09-30,-2.515723270440262,5.833070912123648,0.0,-0.0,-0.05702873781252793
2015-10-31,3.1182795698924792,5.917291084464479,0.0,0.0,0.07715543861053775
2015-11-30,-5.42231491136601,5.848369163105595,0.0,-0.0,-0.0032241507267276592
2015-12-31,5.953693495038581,5.928009053368244,1.0,0.0,0.017228501289679787
2016-01-31,-3.1217481789802326,5.870388061756629,0.0,-0.0771898203364264,-0.0771898203364264
2016-02-29,-1.2889366272824776,5.826365775013165,0.0,-0.0,-0.0036106019096388
2016-03-31,-5.114254624591952,5.806486072272643,0.0,0.0,0.0270748608681477
2016-04-30,3.2110091743119185,5.880569560124912,0.0,0.0,0.029654416704727904
2016-05-31,1.4444444444444482,5.7664540197382,0.0,0.0,0.022352628686002074
2016-06-30,1.4238773274917849,5.703760696097881,0.0,0.0,0.009091618123735268
2016-07-31,-0.647948164146861,5.700489447060597,0.0,0.0,0.04866849582201427
2016-08-31,-0.3260869565217317,5.595917225528879,0.0,-0.0,-0.03244702797747989
2016-09-30,-0.7633587786259555,5.497600285059369,0.0,-0.0,-0.0050962603891422376
2016-10-31,-2.197802197802201,5.403522699286224,0.0,-0.0,-0.06587156682315609
2016-11-30,6.404494382022485,5.40194309234567,1.0,0.0,0.02063600877857863
2016-12-31,-1.2671594508975703,5.416945945214166,0.0,0.007162213872143441,0.007162213872143441
2017-01-31,-3.7433155080213942,5.333068243575222,0.0,0.0,0.022918518968347845
2017-02-28,-0.22222222222222365,5.2093415676836825,0.0,0.0,0.06338633704806496
2017-03-31,1.5590200445434466,5.059684603066712,0.0,-0.0,-0.004806068704033883
2017-04-30,-4.385964912280704,4.998277254106504,0.0,0.0,0.015330732881886355
2017-05-31,7.568807339449535,5.104605359350519,1.0,0.0,0.0076815527864591004
2017-06-30,4.6908315565032055,4.891093923962987,0.0,0.04567178482640988,0.04567178482640988
2017-07-31,0.3054989816700493,4.684004099631327,0.0,0.0,0.00820294131717847
2017-08-31,-2.233502538071064,4.6555351220789865,0.0,0.0,0.017523585702423627
2017-09-30,0.6230529595015577,4.6450243693595175,0.0,0.0,0.009114210328754035
2017-10-31,0.10319917440659854,4.642566061504648,0.0,-0.0,-0.007586408124665711
2017-11-30,0.10309278350515427,4.558437696228123,0.0,0.0,0.029096426858102653
2017-12-31,-2.162718846549938,4.5264754184017795,0.0,-0.0,-0.005504463879333565
2018-01-31,-1.684210526315788,4.522674368157,0.0,0.0,0.06555434553277828
2018-02-28,3.6402569593147582,4.547148710635429,0.0,-0.0,-0.044949288884355454
2018-03-31,-1.7561983471074405,4.38730891219262,0.0,-0.0,-0.029165689820955354
2018-04-30,5.888538380651953,4.402832419999716,1.0,0.0,0.01056509683818252
2018-05-31,-2.1847070506454846,4.37828863521294,0.0,0.0018236417700308039,0.0018236417700308039
2018-06-30,-2.639593908629434,4.220053800570787,0.0,0.0,0.016492947543358838
2018-07-31,-0.2085505735140769,4.195995016839329,0.0,0.0,0.06554057509755151
2018-08-31,4.179728317659359,4.161245693714951,1.0,0.0,0.04329221099010838
2018-09-30,1.7051153460381219,4.170123992400148,0.0,0.02954229843510925,0.02954229843510925
