date,rolling_corr_24m
1995-02-02,-0.009224598904095303
1995-02-03,-0.015904005045678113
1995-02-06,-0.011223988134451664
1995-02-07,-0.010104821335340691
1995-02-08,-0.012160883034790454
1995-02-09,-0.014127306415821328
1995-02-10,-0.005924862261050801
1995-02-13,-0.007113156156893361
1995-02-14,-0.0070109050389547565
1995-02-15,-0.008783453838469596
1995-02-16,-0.011197693469511341
1995-02-17,-0.008779686800781837
1995-02-20,-0.008823355235531563
1995-02-21,-0.010390865396734866
1995-02-22,-0.008707420969210143
1995-02-23,-0.009355943018949528
1995-02-24,-0.008860624383715071
1995-02-27,-0.008514925510782713
1995-02-28,-0.010449252829085778
1995-03-01,-0.012935168308655086
1995-03-02,-0.011007551342908335
1995-03-03,-0.012615659035192598
1995-03-06,-0.01345240462117999
1995-03-07,-0.013958310192966146
1995-03-08,-0.012110567549922499
1995-03-09,-0.0086724497709327
1995-03-10,-0.011426891711682
1995-03-13,-0.010627281965432328
1995-03-14,-0.012044395102162037
1995-03-15,-0.01137025203653885
1995-03-16,-0.011287664856302223
1995-03-17,-0.014528918248510004
1995-03-20,-0.015520286347218555
1995-03-21,-0.014070555887451817
1995-03-22,-0.013964331330377019
1995-03-23,-0.013898862051768077
1995-03-24,-0.008496496976718192
1995-03-27,-0.005420911843662831
1995-03-28,-0.005133441700612246
1995-03-29,-0.004315620649931757
1995-03-30,-0.004633519566047973
1995-03-31,-0.006018912639564115
1995-04-03,-0.002126866534589197
1995-04-04,-0.0031829208997864035
1995-04-05,-0.00202570779451681
1995-04-06,-0.0016437940597688802
1995-04-07,0.00013056851891756776
1995-04-10,0.0007584675485674514
1995-04-11,0.001194689549229244
1995-04-12,0.0015137500492900062
1995-04-13,0.002649690675848262
1995-04-14,0.0028229721235872524
1995-04-17,0.001870905804527673
1995-04-18,0.0004027845590481012
1995-04-19,-0.006601702488552202
1995-04-20,-0.006822283211117855
1995-04-21,-0.0051633516586073545
1995-04-24,-0.006967378078244188
1995-04-25,0.00483602571311168
1995-04-26,0.005875357361032959
1995-04-27,0.0006945494018230906
1995-04-28,0.0018517362510914702
1995-05-01,0.0031481679541638485
1995-05-02,0.004616263013069264
1995-05-03,0.0014011810085853618
1995-05-04,0.0014099480642154215
1995-05-05,0.0014252716106992235
