period_name,start_date,end_date,is_oos,ann_return,ann_vol,sharpe,n_obs,max_drawdown
Dot-Com Crash,2000-03-01,2002-10-31,False,0.0598,0.2288,0.2613,697,-0.3038
GFC,2007-12-01,2009-06-30,False,0.0098,0.375,0.0261,412,-0.3663
COVID,2020-02-01,2020-12-31,True,-0.1042,0.3364,-0.3099,239,-0.2832
2022 Rates Shock,2022-01-01,2022-12-31,True,-0.0755,0.2383,-0.3168,260,-0.2621
Full OOS,2015-01-01,2025-12-31,True,-0.0472,0.1677,-0.2813,2870,-0.5987
