event_def,direction,n_events,horizon_months,conditional_car,unconditional_car,abnormal,ci_lo,ci_hi,t_naive,ci_excludes_zero
strict,up,6,1,-0.024233179079520235,0.009509051795445136,-0.03374223087496537,-0.07237614177234647,0.004456166817048865,-1.382815991830555,False
strict,up,6,2,-0.025541039284629603,0.019151040373411567,-0.04469207965804117,-0.12455327247219822,0.0183751710496554,-0.9449563918376336,False
strict,up,6,3,-0.002958378316353668,0.028740225150673045,-0.031698603467026715,-0.1432169126183751,0.038840031437990245,-0.5299525151209751,False
strict,up,6,4,0.018973820564390436,0.03828739703561177,-0.019313576471221335,-0.13729477585930408,0.05350977491462174,-0.30813859025169527,False
strict,up,6,5,0.014654112982528408,0.0481197040075152,-0.03346559102498679,-0.17019864805723073,0.0554647709775398,-0.4507894409628796,False
strict,up,6,6,0.018435011829030623,0.05817887264419039,-0.039743860815159765,-0.19939558054238846,0.07828674674834979,-0.43241703377965884,False
strict,up,6,7,0.020788921101101348,0.06816163420865332,-0.047372713107551964,-0.19061932069933585,0.07147082937080645,-0.5336165827888452,False
strict,up,6,8,0.04909817215623261,0.07843509327857018,-0.029336921122337566,-0.16126414385730825,0.08543988002539651,-0.35675040423501286,False
strict,up,6,9,0.03494267152216927,0.08890328629487643,-0.05396061477270716,-0.1751304245347291,0.05966222224192985,-0.6997270058133437,False
strict,up,6,10,0.0533226872108881,0.09935670669833677,-0.04603401948744867,-0.1842820243123168,0.08306472213062777,-0.5163753697315029,False
strict,up,6,11,0.07991997198678176,0.10987924890144972,-0.02995927691466796,-0.16333802529713837,0.09780958214677103,-0.34594857806064433,False
strict,up,6,12,0.05736320633412634,0.12042659114440384,-0.0630633848102775,-0.20259695917197557,0.06008620454584608,-0.7355934491121287,False
strict,up,6,13,0.09393567711841201,0.1311123176070764,-0.037176640488664384,-0.1740034519946512,0.0846850036008735,-0.44752810051900493,False
strict,up,6,14,0.12444447723979063,0.1417559650837858,-0.017311487843995166,-0.15992449371931952,0.12425585234853892,-0.1891501455891109,False
strict,up,6,15,0.13809586799837706,0.15241926764655295,-0.014323399648175889,-0.17120763069932327,0.13175605098701693,-0.1504667931924359,False
strict,up,6,16,0.13056272929805213,0.16346317487268489,-0.03290044557463276,-0.1750582369680337,0.0901143652148759,-0.38446497804750435,False
strict,up,6,17,0.12847250309496488,0.17492276423079922,-0.046450261135834336,-0.19152092841287713,0.0932776318562718,-0.5199981545539007,False
strict,up,6,18,0.14728414542348614,0.18639932822140176,-0.03911518279791562,-0.19163153342721048,0.10011849709089155,-0.4201963562266562,False
strict,up,6,19,0.16108000393018482,0.19805308851045364,-0.03697308458026882,-0.1624847911285202,0.0809276051905807,-0.483646688201148,False
strict,up,6,20,0.1957712015071482,0.2098738582716146,-0.014102656764466398,-0.13859913532533485,0.10770220055277069,-0.16854242940633332,False
strict,up,6,21,0.1704256458440235,0.22177952429214426,-0.051353878448120754,-0.19375287896631233,0.08341184335394695,-0.5568958995948305,False
strict,up,6,22,0.15270126303945894,0.23373440694620368,-0.08103314390674474,-0.22764963839699784,0.06168325235214411,-0.8435659771849181,False
strict,up,6,23,0.20306006836464952,0.24565278939145688,-0.04259272102680736,-0.1925319898197139,0.10826867952525523,-0.42964143555305734,False
strict,up,6,24,0.2131097156221765,0.2576195011240519,-0.0445097855018754,-0.2117333240096964,0.11857943406279081,-0.4014783216181964,False
strict,down,12,1,0.01643145525473987,0.009509051795445136,0.006922403459294733,-0.006130831300878835,0.021361183781732126,0.7963488996593358,False
strict,down,12,2,0.024497378009813203,0.019151040373411567,0.005346337636401636,-0.014721368498799979,0.025228117787957763,0.4220655615298324,False
strict,down,12,3,0.03417670222850742,0.028740225150673045,0.005436477077834373,-0.009664190386518631,0.020960026476181788,0.5595994946700037,False
strict,down,12,4,0.03593112882462971,0.03828739703561177,-0.00235626821098206,-0.024644447827682325,0.019666003131587836,-0.1668850024460636,False
strict,down,12,5,0.030419170430319747,0.0481197040075152,-0.017700533577195456,-0.04076313677518859,0.005920124578684146,-1.2029295528312496,False
strict,down,12,6,0.03570788051715982,0.05817887264419039,-0.02247099212703057,-0.0643345762920074,0.018001943487837728,-0.8492563240353221,False
strict,down,12,7,0.0527430885593711,0.06816163420865332,-0.015418545649282217,-0.054169277516281325,0.024257420227155952,-0.6182393981634202,False
strict,down,12,8,0.07239175390238971,0.07843509327857018,-0.0060433393761804705,-0.059255751578435184,0.045899859515939,-0.18050483650724441,False
strict,down,12,9,0.07331228898168399,0.08890328629487643,-0.01559099731319244,-0.06365815365391048,0.03427368327141327,-0.49838167276577927,False
strict,down,12,10,0.08882737479714792,0.09935670669833677,-0.010529331901188849,-0.06652121217769884,0.04696367330946966,-0.29163558252241745,False
strict,down,12,11,0.10592153394718999,0.10987924890144972,-0.003957714954259728,-0.06728861738036543,0.055830823690795235,-0.10147849503946997,False
strict,down,12,12,0.1220609501119297,0.12042659114440384,0.0016343589675258674,-0.06211029924694585,0.06844177036770498,0.03935176003412506,False
strict,down,12,13,0.1265380367572825,0.1311123176070764,-0.004574280849793888,-0.06452729075830978,0.05870696540261194,-0.11604876865981106,False
strict,down,12,14,0.1206317761057274,0.1417559650837858,-0.0211241889780584,-0.10145520989358048,0.06353037294876643,-0.40342005956614935,False
strict,down,12,15,0.14370981444006492,0.15241926764655295,-0.008709453206488027,-0.08470836769053537,0.07203386459262975,-0.17480376124634625,False
