signal,threshold,direction,strategy,lead_months,oos_sharpe,oos_sortino,oos_calmar,oos_ann_return,oos_ann_vol,max_drawdown,win_rate,oos_n,valid,exposure
runlen3,T0_zero,countercyclical,P1_long_cash,0,0.8603770179953654,1.2303283458998362,0.44682465179428654,0.10691251888231146,0.12789086968616822,-0.23927175560477554,0.40707964601769914,113,True,0.6283185840707964
runlen3,T0_zero,countercyclical,P1_long_cash,1,0.8179821908008774,1.1531556715517968,0.4187974560798149,0.10020640255903124,0.12687355439051337,-0.23927175560477565,0.39823008849557523,113,True,0.6194690265486725
runlen3,T0_zero,countercyclical,P1_long_cash,2,0.7691105339618074,1.0627665374790791,0.3859703709422374,0.09235180826677558,0.12529833961512832,-0.23927175560477554,0.3893805309734513,113,True,0.6106194690265486
runlen3,T0_zero,countercyclical,P1_long_cash,3,0.8064115826965714,1.0904039612063527,0.40450970417555443,0.09678774707725335,0.12443348053848874,-0.23927175560477565,0.3893805309734513,113,True,0.6017699115044248
runlen3,T0_zero,countercyclical,P1_long_cash,6,0.734208501568226,0.9247074654320576,0.3491653535661513,0.08354540714413528,0.11918487431709826,-0.23927175560477576,0.37168141592920356,113,True,0.5752212389380531
runlen3,T0_zero,countercyclical,P1_long_cash,9,0.6833769598864017,0.8484073205156287,0.3196468426150362,0.07648246120602309,0.11825793773947392,-0.23927175560477554,0.35398230088495575,113,True,0.5486725663716814
runlen3,T0_zero,countercyclical,P1_long_cash,12,0.6652884682365635,0.8195834848650194,0.30878714370040106,0.0738840419813791,0.11772728133101425,-0.23927175560477565,0.35398230088495575,113,True,0.5486725663716814
runlen3,T0_zero,procyclical,P1_long_cash,0,0.4773768169273917,0.3094108178628309,0.21675315452281993,0.04215343806367278,0.09637151100921963,-0.19447669934249945,0.2920353982300885,113,True,0.37168141592920356
runlen3,T0_zero,procyclical,P1_long_cash,1,0.5331666015164418,0.35603713056905734,0.24941652561194078,0.04850570266248422,0.09801735917778719,-0.19447669934249945,0.3008849557522124,113,True,0.3805309734513274
runlen3,T0_zero,procyclical,P1_long_cash,2,0.594945771337717,0.41137653929215023,0.2881837267492834,0.056045019982421396,0.10029757373919077,-0.19447669934249945,0.30973451327433627,113,True,0.3893805309734513
runlen3,T0_zero,procyclical,P1_long_cash,3,0.5501620590645427,0.39801354973883146,0.26622142700015267,0.05177386441723986,0.1012343351533515,-0.19447669934249945,0.30973451327433627,113,True,0.39823008849557523
runlen3,T0_zero,procyclical,P1_long_cash,6,0.6364335051017548,0.508208121304751,0.33231700673982073,0.06462791460613948,0.10768342918176856,-0.19447669934249945,0.3274336283185841,113,True,0.4247787610619469
runlen3,T0_zero,procyclical,P1_long_cash,9,0.6916355886328923,0.558841760270026,0.3682347629033984,0.07161308127262078,0.10876412596312292,-0.19447669934249945,0.34513274336283184,113,True,0.45132743362831856
runlen3,T0_zero,procyclical,P1_long_cash,12,0.7107580251568807,0.5790759738571241,0.3815675904987836,0.07420600557627388,0.10934422804999518,-0.19447669934249945,0.34513274336283184,113,True,0.45132743362831856
runlen3,none,signed_ls,P3_long_short,0,-0.39336482745029455,-0.7427842484169933,-0.10810769604039563,-0.07462152136792799,0.16277215310879714,-0.690251703634909,0.5132743362831859,113,True,
runlen3,none,signed_ls,P3_long_short,1,-0.31579714525751984,-0.6223107374891469,-0.09539996526887626,-0.06296051140986347,0.16314500136027554,-0.6599636722342079,0.5221238938053098,113,True,
runlen3,none,signed_ls,P3_long_short,2,-0.22446959843063455,-0.4827216603918418,-0.0745843388279909,-0.04894334209129636,0.1634816285631428,-0.6562147343582581,0.5309734513274337,113,True,
runlen3,none,signed_ls,P3_long_short,3,-0.2733934867602165,-0.5621352131845978,-0.08546784763796862,-0.05648028139739092,0.1633151917208918,-0.6608365947933368,0.5221238938053098,113,True,
runlen3,none,signed_ls,P3_long_short,6,-0.11587741476106415,-0.32924174845611237,-0.052778463120607966,-0.03184940681137949,0.16373514843722306,-0.6034546087217063,0.5309734513274337,113,True,
runlen3,none,signed_ls,P3_long_short,9,-0.03412053312791228,-0.19056203994233864,-0.032113365724454605,-0.018797045714150196,0.16381952976045075,-0.5853340280628412,0.5398230088495575,113,True,
runlen3,none,signed_ls,P3_long_short,12,-0.0036948329690268864,-0.1399912245930613,-0.023726120849905746,-0.013887705887381085,0.16382745318165318,-0.585334028062841,0.5398230088495575,113,True,
