direction,lag,f_statistic,p_value,significant
indicator_to_target,1,0.4154,0.5196,False
target_to_indicator,1,13.9953,0.0002,True
indicator_to_target,2,0.5148,0.598,False
target_to_indicator,2,6.3791,0.0019,True
indicator_to_target,3,1.0589,0.3665,False
target_to_indicator,3,4.8225,0.0026,True
indicator_to_target,4,0.9505,0.4347,False
target_to_indicator,4,3.8157,0.0047,True
indicator_to_target,5,1.3149,0.2568,False
target_to_indicator,5,3.5017,0.0042,True
indicator_to_target,6,1.0898,0.3678,False
target_to_indicator,6,3.7657,0.0012,True
indicator_to_target,7,0.9816,0.4442,False
target_to_indicator,7,3.0966,0.0035,True
indicator_to_target,8,1.1073,0.3573,False
target_to_indicator,8,2.9138,0.0036,True
indicator_to_target,9,0.9811,0.4551,False
target_to_indicator,9,2.6071,0.0063,True
indicator_to_target,10,0.9159,0.5184,False
target_to_indicator,10,2.4969,0.0066,True
indicator_to_target,11,0.9373,0.5043,False
target_to_indicator,11,2.2573,0.0115,True
indicator_to_target,12,0.918,0.5289,False
target_to_indicator,12,2.6815,0.0018,True
