signal,horizon,coef,se,t_stat,p_value,r_squared,n
yoy,spy_fwd_1m,4.3e-05,0.000257,0.169,0.8656,0.0001,400
yoy,spy_fwd_3m,6.3e-05,0.000463,0.135,0.8924,0.0001,398
yoy,spy_fwd_6m,-2e-06,0.000732,-0.002,0.9982,0.0,395
yoy,spy_fwd_12m,0.000823,0.001182,0.696,0.4863,0.0019,389
mom,spy_fwd_1m,0.001182,0.002299,0.514,0.6071,0.0012,400
mom,spy_fwd_3m,0.002255,0.004142,0.544,0.5862,0.0015,398
mom,spy_fwd_6m,-0.002526,0.006535,-0.387,0.6991,0.0009,395
mom,spy_fwd_12m,0.004913,0.012067,0.407,0.6839,0.0014,389
mom3m,spy_fwd_1m,0.00039,0.000662,0.59,0.5552,0.0008,400
mom3m,spy_fwd_3m,0.000474,0.001538,0.308,0.7577,0.0004,398
mom3m,spy_fwd_6m,-0.000883,0.002249,-0.392,0.6948,0.0007,395
mom3m,spy_fwd_12m,0.001988,0.003898,0.51,0.6101,0.0015,389
mom6m,spy_fwd_1m,-9.8e-05,0.000424,-0.231,0.8172,0.0001,400
mom6m,spy_fwd_3m,-0.00031,0.000762,-0.406,0.6846,0.0005,398
mom6m,spy_fwd_6m,-0.00056,0.001147,-0.488,0.6255,0.0007,395
mom6m,spy_fwd_12m,0.000855,0.002093,0.409,0.6829,0.0007,389
dev_trend,spy_fwd_1m,4.4e-05,0.000502,0.088,0.9303,0.0,400
dev_trend,spy_fwd_3m,-9.4e-05,0.000947,-0.099,0.9208,0.0,398
dev_trend,spy_fwd_6m,-0.000363,0.001379,-0.263,0.7926,0.0002,395
dev_trend,spy_fwd_12m,0.001456,0.002473,0.589,0.5561,0.0014,389
level_zscore_60m,spy_fwd_1m,0.001035,0.001531,0.676,0.4989,0.0008,400
level_zscore_60m,spy_fwd_3m,0.00244,0.002763,0.883,0.377,0.0016,398
level_zscore_60m,spy_fwd_6m,0.003392,0.004014,0.845,0.3981,0.0014,395
level_zscore_60m,spy_fwd_12m,0.005814,0.006541,0.889,0.3742,0.0018,389
yoy_zscore_60m,spy_fwd_1m,0.002072,0.001359,1.525,0.1273,0.0049,400
yoy_zscore_60m,spy_fwd_3m,0.005621,0.002477,2.269,0.0233,0.0124,398
yoy_zscore_60m,spy_fwd_6m,0.009307,0.003655,2.547,0.0109,0.0158,395
yoy_zscore_60m,spy_fwd_12m,0.025689,0.006086,4.221,0.0,0.0507,389
accel,spy_fwd_1m,0.001356,0.003227,0.42,0.6745,0.0012,400
accel,spy_fwd_3m,0.001688,0.006485,0.26,0.7946,0.0006,398
accel,spy_fwd_6m,-0.000241,0.00862,-0.028,0.9777,0.0,395
accel,spy_fwd_12m,0.002719,0.015895,0.171,0.8642,0.0003,389
contraction,spy_fwd_1m,-0.000718,0.004756,-0.151,0.88,0.0001,400
contraction,spy_fwd_3m,-0.002231,0.008196,-0.272,0.7855,0.0002,398
contraction,spy_fwd_6m,-0.01331,0.012265,-1.085,0.2778,0.0031,395
contraction,spy_fwd_12m,-0.059147,0.017871,-3.31,0.0009,0.0245,389
hmm_stress,spy_fwd_1m,0.00093,0.004419,0.211,0.8332,0.0001,400
hmm_stress,spy_fwd_3m,0.004849,0.007634,0.635,0.5253,0.001,398
hmm_stress,spy_fwd_6m,0.013248,0.011324,1.17,0.242,0.0034,395
hmm_stress,spy_fwd_12m,0.045894,0.017097,2.684,0.0073,0.0165,389
