parameter,value,se
p[0->0],0.7296127968209959,
p[1->0],0.15874235848115079,
const[0],160.47162151260315,
const[1],-28.679209460500978,
x1[0],160.47162151260315,
x1[1],-28.679209460500978,
x2[0],992.1860625346698,
x2[1],-178.77348117114076,
sigma2[0],58.85417316135514,
sigma2[1],56.013257697801485,
