pair_name,horizon_days,metric,value,p_value,n_obs
yoy__spy_fwd_1m,21,pearson,0.0088,0.8611,400
yoy__spy_fwd_1m,21,spearman,0.013,0.796,400
yoy__spy_fwd_1m,21,kendall,0.0084,0.8008,400
yoy__spy_fwd_1m,21,distance,0.0664,,400
yoy__spy_fwd_3m,63,pearson,0.0074,0.8823,398
yoy__spy_fwd_3m,63,spearman,0.0183,0.7159,398
yoy__spy_fwd_3m,63,kendall,0.0143,0.6703,398
yoy__spy_fwd_3m,63,distance,0.0973,,398
yoy__spy_fwd_6m,126,pearson,-0.0001,0.9979,395
yoy__spy_fwd_6m,126,spearman,0.038,0.4513,395
yoy__spy_fwd_6m,126,kendall,0.0282,0.4029,395
yoy__spy_fwd_6m,126,distance,0.1261,,395
yoy__spy_fwd_12m,252,pearson,0.043,0.3975,389
yoy__spy_fwd_12m,252,spearman,0.1026,0.0431,389
yoy__spy_fwd_12m,252,kendall,0.0742,0.0289,389
yoy__spy_fwd_12m,252,distance,0.2103,,389
mom__spy_fwd_1m,21,pearson,0.0349,0.4869,400
mom__spy_fwd_1m,21,spearman,-0.0044,0.9307,400
mom__spy_fwd_1m,21,kendall,-0.0021,0.9493,400
mom__spy_fwd_1m,21,distance,0.0953,,400
mom__spy_fwd_3m,63,pearson,0.0391,0.4368,398
mom__spy_fwd_3m,63,spearman,-0.0365,0.4675,398
mom__spy_fwd_3m,63,kendall,-0.0246,0.4637,398
mom__spy_fwd_3m,63,distance,0.1205,,398
mom__spy_fwd_6m,126,pearson,-0.0298,0.5551,395
mom__spy_fwd_6m,126,spearman,-0.0688,0.1721,395
mom__spy_fwd_6m,126,kendall,-0.0461,0.171,395
mom__spy_fwd_6m,126,distance,0.1223,,395
mom__spy_fwd_12m,252,pearson,0.0376,0.4592,389
mom__spy_fwd_12m,252,spearman,-0.0238,0.64,389
mom__spy_fwd_12m,252,kendall,-0.0162,0.6329,389
mom__spy_fwd_12m,252,distance,0.124,,389
mom3m__spy_fwd_1m,21,pearson,0.029,0.5633,400
mom3m__spy_fwd_1m,21,spearman,0.0049,0.9215,400
mom3m__spy_fwd_1m,21,kendall,0.0039,0.9076,400
mom3m__spy_fwd_1m,21,distance,0.0807,,400
mom3m__spy_fwd_3m,63,pearson,0.0207,0.681,398
mom3m__spy_fwd_3m,63,spearman,-0.0311,0.5359,398
mom3m__spy_fwd_3m,63,kendall,-0.0215,0.5212,398
mom3m__spy_fwd_3m,63,distance,0.113,,398
mom3m__spy_fwd_6m,126,pearson,-0.0262,0.6038,395
mom3m__spy_fwd_6m,126,spearman,-0.084,0.0956,395
mom3m__spy_fwd_6m,126,kendall,-0.0599,0.0753,395
mom3m__spy_fwd_6m,126,distance,0.1271,,395
mom3m__spy_fwd_12m,252,pearson,0.0383,0.451,389
mom3m__spy_fwd_12m,252,spearman,-0.0029,0.9551,389
mom3m__spy_fwd_12m,252,kendall,0.0001,0.9981,389
mom3m__spy_fwd_12m,252,distance,0.1248,,389
mom6m__spy_fwd_1m,21,pearson,-0.0119,0.8127,400
mom6m__spy_fwd_1m,21,spearman,-0.0111,0.8255,400
mom6m__spy_fwd_1m,21,kendall,-0.0056,0.8668,400
mom6m__spy_fwd_1m,21,distance,0.0751,,400
mom6m__spy_fwd_3m,63,pearson,-0.0221,0.6602,398
mom6m__spy_fwd_3m,63,spearman,-0.0544,0.2789,398
mom6m__spy_fwd_3m,63,kendall,-0.0355,0.2901,398
mom6m__spy_fwd_3m,63,distance,0.1024,,398
mom6m__spy_fwd_6m,126,pearson,-0.0272,0.5894,395
mom6m__spy_fwd_6m,126,spearman,-0.0441,0.3821,395
mom6m__spy_fwd_6m,126,kendall,-0.0295,0.3805,395
mom6m__spy_fwd_6m,126,distance,0.106,,395
mom6m__spy_fwd_12m,252,pearson,0.027,0.5957,389
mom6m__spy_fwd_12m,252,spearman,0.0335,0.5101,389
mom6m__spy_fwd_12m,252,kendall,0.0265,0.4351,389
mom6m__spy_fwd_12m,252,distance,0.1466,,389
dev_trend__spy_fwd_1m,21,pearson,0.0044,0.9303,400
dev_trend__spy_fwd_1m,21,spearman,0.0037,0.942,400
dev_trend__spy_fwd_1m,21,kendall,0.0044,0.8958,400
dev_trend__spy_fwd_1m,21,distance,0.0632,,400
dev_trend__spy_fwd_3m,63,pearson,-0.0055,0.9125,398
dev_trend__spy_fwd_3m,63,spearman,-0.0342,0.4961,398
dev_trend__spy_fwd_3m,63,kendall,-0.0223,0.5061,398
dev_trend__spy_fwd_3m,63,distance,0.0905,,398
dev_trend__spy_fwd_6m,126,pearson,-0.0145,0.7735,395
dev_trend__spy_fwd_6m,126,spearman,-0.0203,0.6877,395
dev_trend__spy_fwd_6m,126,kendall,-0.013,0.6998,395
dev_trend__spy_fwd_6m,126,distance,0.0999,,395
dev_trend__spy_fwd_12m,252,pearson,0.0378,0.4575,389
dev_trend__spy_fwd_12m,252,spearman,0.057,0.2624,389
dev_trend__spy_fwd_12m,252,kendall,0.0425,0.2111,389
dev_trend__spy_fwd_12m,252,distance,0.154,,389
level_zscore_60m__spy_fwd_1m,21,pearson,0.0287,0.5665,400
level_zscore_60m__spy_fwd_1m,21,spearman,0.0471,0.3478,400
level_zscore_60m__spy_fwd_1m,21,kendall,0.0319,0.3414,400
level_zscore_60m__spy_fwd_1m,21,distance,0.0839,,400
level_zscore_60m__spy_fwd_3m,63,pearson,0.0399,0.4273,398
level_zscore_60m__spy_fwd_3m,63,spearman,0.0544,0.2788,398
level_zscore_60m__spy_fwd_3m,63,kendall,0.0351,0.2957,398
level_zscore_60m__spy_fwd_3m,63,distance,0.1039,,398
level_zscore_60m__spy_fwd_6m,126,pearson,0.0378,0.4541,395
level_zscore_60m__spy_fwd_6m,126,spearman,0.0744,0.1399,395
level_zscore_60m__spy_fwd_6m,126,kendall,0.0509,0.1308,395
level_zscore_60m__spy_fwd_6m,126,distance,0.1299,,395
level_zscore_60m__spy_fwd_12m,252,pearson,0.0419,0.4097,389
level_zscore_60m__spy_fwd_12m,252,spearman,0.0932,0.0662,389
level_zscore_60m__spy_fwd_12m,252,kendall,0.0643,0.0581,389
level_zscore_60m__spy_fwd_12m,252,distance,0.2145,,389
yoy_zscore_60m__spy_fwd_1m,21,pearson,0.0698,0.1638,400
yoy_zscore_60m__spy_fwd_1m,21,spearman,0.0586,0.2422,400
yoy_zscore_60m__spy_fwd_1m,21,kendall,0.038,0.2558,400
yoy_zscore_60m__spy_fwd_1m,21,distance,0.0933,,400
yoy_zscore_60m__spy_fwd_3m,63,pearson,0.1113,0.0264,398
yoy_zscore_60m__spy_fwd_3m,63,spearman,0.0663,0.1871,398
yoy_zscore_60m__spy_fwd_3m,63,kendall,0.0442,0.1877,398
yoy_zscore_60m__spy_fwd_3m,63,distance,0.1128,,398
yoy_zscore_60m__spy_fwd_6m,126,pearson,0.1255,0.0125,395
yoy_zscore_60m__spy_fwd_6m,126,spearman,0.1017,0.0434,395
yoy_zscore_60m__spy_fwd_6m,126,kendall,0.0699,0.0381,395
yoy_zscore_60m__spy_fwd_6m,126,distance,0.1503,,395
yoy_zscore_60m__spy_fwd_12m,252,pearson,0.2252,0.0,389
yoy_zscore_60m__spy_fwd_12m,252,spearman,0.2034,0.0001,389
yoy_zscore_60m__spy_fwd_12m,252,kendall,0.1451,0.0,389
yoy_zscore_60m__spy_fwd_12m,252,distance,0.2514,,389
accel__spy_fwd_1m,21,pearson,0.0342,0.4957,400
accel__spy_fwd_1m,21,spearman,0.0185,0.7119,400
accel__spy_fwd_1m,21,kendall,0.011,0.7424,400
accel__spy_fwd_1m,21,distance,0.0972,,400
accel__spy_fwd_3m,63,pearson,0.0251,0.6183,398
accel__spy_fwd_3m,63,spearman,-0.0263,0.6014,398
accel__spy_fwd_3m,63,kendall,-0.0186,0.5791,398
accel__spy_fwd_3m,63,distance,0.1064,,398
accel__spy_fwd_6m,126,pearson,-0.0024,0.9615,395
accel__spy_fwd_6m,126,spearman,-0.003,0.9526,395
accel__spy_fwd_6m,126,kendall,-0.0028,0.9346,395
accel__spy_fwd_6m,126,distance,0.0939,,395
accel__spy_fwd_12m,252,pearson,0.0178,0.7259,389
accel__spy_fwd_12m,252,spearman,-0.0165,0.7451,389
accel__spy_fwd_12m,252,kendall,-0.0102,0.7644,389
accel__spy_fwd_12m,252,distance,0.1137,,389
contraction__spy_fwd_1m,21,pearson,-0.0075,0.8816,400
contraction__spy_fwd_1m,21,spearman,-0.0095,0.8496,400
contraction__spy_fwd_1m,21,kendall,-0.0078,0.8493,400
contraction__spy_fwd_1m,21,distance,0.0304,,400
contraction__spy_fwd_3m,63,pearson,-0.0137,0.7858,398
contraction__spy_fwd_3m,63,spearman,-0.0105,0.835,398
contraction__spy_fwd_3m,63,kendall,-0.0086,0.8347,398
contraction__spy_fwd_3m,63,distance,0.0581,,398
contraction__spy_fwd_6m,126,pearson,-0.0553,0.2726,395
contraction__spy_fwd_6m,126,spearman,-0.0455,0.3675,395
contraction__spy_fwd_6m,126,kendall,-0.0372,0.3668,395
contraction__spy_fwd_6m,126,distance,0.0784,,395
contraction__spy_fwd_12m,252,pearson,-0.1565,0.002,389
contraction__spy_fwd_12m,252,spearman,-0.1985,0.0001,389
contraction__spy_fwd_12m,252,kendall,-0.1623,0.0001,389
contraction__spy_fwd_12m,252,distance,0.1901,,389
hmm_stress__spy_fwd_1m,21,pearson,0.0102,0.8394,400
hmm_stress__spy_fwd_1m,21,spearman,0.0105,0.8335,400
hmm_stress__spy_fwd_1m,21,kendall,0.0066,0.8427,400
hmm_stress__spy_fwd_1m,21,distance,0.0487,,400
hmm_stress__spy_fwd_3m,63,pearson,0.0312,0.5348,398
