horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,4.3e-05,0.000285,-0.000515,0.000602,0.8787,fwd
3,6.3e-05,0.000864,-0.001631,0.001756,0.9422,fwd
6,-2e-06,0.001744,-0.00342,0.003416,0.9993,fwd
12,0.000823,0.003521,-0.006078,0.007724,0.8152,fwd
1,-7.013215,11.182574,-28.930657,14.904226,0.5306,rev
3,-12.507309,11.265975,-34.588215,9.573598,0.2669,rev
6,-5.398336,11.478197,-27.89519,17.098517,0.6381,rev
12,9.467943,15.691025,-21.285901,40.221786,0.5462,rev
