test,statistic,p_value,interpretation
Jarque-Bera,61.52,0.0,Non-normal — robust/HAC inference used
Breusch-Pagan,30.494,0.0,Heteroskedastic — HC3/HAC SEs used
Breusch-Godfrey (12),207.003,0.0,Serial correlation (overlapping fwd returns) — HAC SEs used
RESET,0.03,0.9708,Linear form adequate
