lag,ccf,lower_ci,upper_ci,significant,arima_order,n_obs
-20,-0.0528,-0.1084,0.1084,False,AR(12),307
-19,0.0121,-0.1084,0.1084,False,AR(12),308
-18,0.1026,-0.1084,0.1084,False,AR(12),309
-17,-0.0546,-0.1084,0.1084,False,AR(12),310
-16,0.0142,-0.1084,0.1084,False,AR(12),311
-15,0.0034,-0.1084,0.1084,False,AR(12),312
-14,-0.0559,-0.1084,0.1084,False,AR(12),313
-13,0.002,-0.1084,0.1084,False,AR(12),314
-12,-0.049,-0.1084,0.1084,False,AR(12),315
-11,0.1992,-0.1084,0.1084,True,AR(12),316
-10,-0.1332,-0.1084,0.1084,True,AR(12),317
-9,0.0444,-0.1084,0.1084,False,AR(12),318
-8,0.0284,-0.1084,0.1084,False,AR(12),319
-7,-0.0853,-0.1084,0.1084,False,AR(12),320
-6,0.0386,-0.1084,0.1084,False,AR(12),321
-5,-0.0146,-0.1084,0.1084,False,AR(12),322
-4,0.0082,-0.1084,0.1084,False,AR(12),323
-3,0.1026,-0.1084,0.1084,False,AR(12),324
-2,0.0607,-0.1084,0.1084,False,AR(12),325
-1,0.1287,-0.1084,0.1084,True,AR(12),326
0,-0.0119,-0.1084,0.1084,False,AR(12),327
1,-0.1794,-0.1084,0.1084,True,AR(12),326
2,0.0401,-0.1084,0.1084,False,AR(12),325
3,-0.0576,-0.1084,0.1084,False,AR(12),324
4,-0.0554,-0.1084,0.1084,False,AR(12),323
5,0.0636,-0.1084,0.1084,False,AR(12),322
6,-0.0746,-0.1084,0.1084,False,AR(12),321
7,-0.0645,-0.1084,0.1084,False,AR(12),320
8,0.0651,-0.1084,0.1084,False,AR(12),319
9,0.0042,-0.1084,0.1084,False,AR(12),318
10,-0.0053,-0.1084,0.1084,False,AR(12),317
11,0.0024,-0.1084,0.1084,False,AR(12),316
12,0.0683,-0.1084,0.1084,False,AR(12),315
13,-0.0168,-0.1084,0.1084,False,AR(12),314
14,0.0185,-0.1084,0.1084,False,AR(12),313
15,-0.0124,-0.1084,0.1084,False,AR(12),312
16,0.0027,-0.1084,0.1084,False,AR(12),311
17,-0.0303,-0.1084,0.1084,False,AR(12),310
18,0.0317,-0.1084,0.1084,False,AR(12),309
19,-0.0006,-0.1084,0.1084,False,AR(12),308
20,-0.0488,-0.1084,0.1084,False,AR(12),307
