parameter,value,se
p[0->0],0.7918129273362832,
p[1->0],0.11372210023589106,
const[0],215.29095117855468,
const[1],-37.715070802903746,
x1[0],215.29095117855468,
x1[1],-37.715070802903746,
x2[0],970.6182873099233,
x2[1],-172.27194843671273,
sigma2[0],2331.588069181632,
sigma2[1],1.2151048459190557,
