tau,coef,se,p_value,ci_lower,ci_upper
0.05,0.005161,0.002742,0.0607,-0.000234,0.010555
0.1,0.005827,0.002697,0.0314,0.000522,0.011132
0.25,0.001711,0.001728,0.3228,-0.001689,0.005111
0.5,-0.003468,0.001068,0.0013,-0.005568,-0.001367
0.75,-0.003821,0.001152,0.001,-0.006088,-0.001554
0.9,-0.004746,0.001497,0.0017,-0.007689,-0.001802
0.95,-0.00443,0.001995,0.027,-0.008354,-0.000507
