horizon,coef,se,ci_lower,ci_upper,p_value,direction
1,-0.000324,0.000863,-0.002016,0.001368,0.7073,fwd
3,-0.000619,0.002228,-0.004985,0.003748,0.7813,fwd
6,-0.001576,0.003648,-0.008725,0.005574,0.6657,fwd
12,-0.004157,0.00624,-0.016387,0.008072,0.5052,fwd
1,17.552992,8.939768,0.031369,35.074616,0.0496,rev
3,21.110131,7.162442,7.072003,35.148259,0.0032,rev
6,16.36807,7.734886,1.207971,31.528168,0.0343,rev
12,15.267608,5.980091,3.546845,26.98837,0.0107,rev
