lag,f_stat,p_value,direction
1,0.0696008373615288,0.792060000601711,signal_to_SPY
2,0.490330638000213,0.6128087814986882,signal_to_SPY
3,0.44699274672096745,0.7195686819839849,signal_to_SPY
4,0.38994016351671895,0.8158434141869766,signal_to_SPY
5,0.9636491286214031,0.4399370892741542,signal_to_SPY
6,0.858861918640363,0.5253300874017499,signal_to_SPY
